cluster_uid,target,sources,n_sources,silhouette_score,note
d6124cf297ca,AC090498.1,ZEB1;ELK4,2,0.1616,exp04_brca-coregtor-r1
e694d792c5d2,AC092070.2,RBBP5;ZKSCAN5,2,0.1736,exp04_brca-coregtor-r1
743bf00f8eb2,AC092747.4,ZNF230;ZNF235,2,0.1341,exp04_brca-coregtor-r1
b01570d85f26,AC093297.2,RELB;ZBTB5,2,0.407,exp04_brca-coregtor-r1
751ec10d904b,AC093323.1,EMX2;BACH2,2,0.5278,exp04_brca-coregtor-r1
bb4006963b83,AC093752.1,ZBTB20;ZNF548,2,0.2405,exp04_brca-coregtor-r1
2835e35554be,AC097448.1,ZBTB38;MRPL1;YWHAE,3,0.0766,exp04_brca-coregtor-r1
a4ff3e2b74de,AC100810.1,STUB1;GPANK1,2,0.171,exp04_brca-coregtor-r1
8a2c9133fdd8,AC104825.1,RARB;ZNF433;ZBTB7C;IRF6;IRX2;ZNF610;ZNF875;ZNF844;ZNF554;TFAP2B,10,0.1752,exp04_brca-coregtor-r1
6326694edb9c,AC110079.1,RFX3;HNF4G,2,0.1886,exp04_brca-coregtor-r1
c9dedead8349,AC112220.2,ZNF260;SIN3A,2,0.1879,exp04_brca-coregtor-r1
5a9b05278706,AC113935.1,RPL6;CTNNB1;RPS4X;TIGD2;ZNF22;SMAD4;ZNF502;ZBTB33;PUM3;EHF,10,0.0938,exp04_brca-coregtor-r1
35d450a13028,AC126474.2,UBE2K;PSMD12,2,0.2755,exp04_brca-coregtor-r1
5b418dcb6e39,AC132008.2,ZNF207;ZNF677,2,0.3226,exp04_brca-coregtor-r1
244f5372a526,AC135050.6,SPR;ZNF444;ZFHX2;ZNF226,4,0.2061,exp04_brca-coregtor-r1
bd2423160929,AC243919.1,RPS4X;RPL6;POLD2,3,0.2753,exp04_brca-coregtor-r1
bb265956d4dd,ACAA2,ACO1;CAT;RXRG;GPD1;KLF14;EBF1;MTHFD1;PPARG;TBX15;STAT5A;SOX5;HOXA10;MLXIPL,13,0.1787,exp04_brca-coregtor-r1
6b7a3ad4657d,ACACA,ZBTB22;ASCL2,2,0.3604,exp04_brca-coregtor-r1
5ca5713229d9,ACACB,MLXIPL;MTHFD1;ACO1;CAT;GPD1;EBF1;PPARG;SOX5;SATB2;ESR2;DMRT2;ARNT2;VDR;FOXN4;STAT5A;GPAM;TBX15;EBF3;TEAD1;FOXN3;GLIS1;FOXP2,22,0.3366,exp04_brca-coregtor-r1
d6430c3a5442,ACAD10,ZCCHC14;CREBZF,2,0.1538,exp04_brca-coregtor-r1
d6a24e33e171,ACAD8,PRDM10;ZBTB44;MRPS25;ZNF778;HINFP;MBD1;NCOR1,7,0.0773,exp04_brca-coregtor-r1
ac93bf669ced,ACAD9,ZHX1;ZNF575,2,0.1987,exp04_brca-coregtor-r1
32b8187e056a,ACADM,TCF3;ZNF761;LBX2;SND1,4,0.4403,exp04_brca-coregtor-r1
993f165971b8,ACADS,POU2F3;TFDP3,2,0.2432,exp04_brca-coregtor-r1
605515d4c43e,ACADSB,ZNF626;PBX1,2,0.1893,exp04_brca-coregtor-r1
42d200ff5c09,ACADVL,ZNF43;ZNF662,2,0.3256,exp04_brca-coregtor-r1
d859a66719c1,ACAP1,DMAP1;BAX,2,0.2948,exp04_brca-coregtor-r1
a67db03d8cd4,ACAP2,GTF2H3;ZNF674;ZBTB37,3,0.208,exp04_brca-coregtor-r1
3f4574beacf8,ACAP3,SKI;ZMAT4;SCAND1,3,0.4105,exp04_brca-coregtor-r1
eaca9c5af877,ACAT1,HOXA11;ZSCAN1,2,0.4355,exp04_brca-coregtor-r1
31bc5bb9d4f0,ACAT2,ZNF410;MSX2,2,0.442,exp04_brca-coregtor-r1
b0fc78cdb004,ACBD3,VPS72;ZNF746,2,0.2752,exp04_brca-coregtor-r1
bf050bae5797,ACBD4,DEAF1;ZNF646,2,0.284,exp04_brca-coregtor-r1
ca7632c4b08b,ACBD5,LRRFIP1;TBL1XR1,2,0.3807,exp04_brca-coregtor-r1
6ce7f9a46c41,ACBD6,CERS2;HINFP;R3HDM2,3,0.3135,exp04_brca-coregtor-r1
0420c8c490dd,ACCS,ZNF429;ZNF500,2,0.3755,exp04_brca-coregtor-r1
1b5bdd0ca028,ACD,TAGLN2;ZSCAN5A,2,0.1992,exp04_brca-coregtor-r1
a22b85e31bcf,ACE,DMRT3;ZNF423;MSX1;JDP2;PRRX1;SHOX2;HOXB7;LMX1A;DAB2;TRIP10,10,0.2022,exp04_brca-coregtor-r1
e8394dbd83aa,ACER2,KLF8;TEAD1;ZNF117;ZBTB37;NR3C1;FOXN2;ZHX1;FOXN3;KLF11;SOX5;CREBL2;ZFP92;SATB2;NFIA;STAT5B;ARNT,16,0.1052,exp04_brca-coregtor-r1
3ff866b9192e,ACER3,SOX5;TWIST1,2,0.1459,exp04_brca-coregtor-r1
c831715477f5,ACIN1,PHF12;ZNF324B,2,0.1245,exp04_brca-coregtor-r1
587a8c819515,ACKR1,FOS;ERG,2,0.2118,exp04_brca-coregtor-r1
8f7c9f09400c,ACKR3,MSX1;LMX1A;CREB5;ZNF423;DMRT3;TPPP;SKI;XG;NFIA;SOX7,10,0.2067,exp04_brca-coregtor-r1
5868649633ba,ACLY,LDB1;PHLDA2,2,0.5322,exp04_brca-coregtor-r1
37cf7dc339de,ACO2,RORC;ZNF740;ZNF14,3,0.3645,exp04_brca-coregtor-r1
74ac5a67307e,ACOT13,TFDP1;DNMT3A,2,0.3733,exp04_brca-coregtor-r1
ba625daa675b,ACOT2,PPARG;GPD1;CEBPA;CAT;MTHFD1;HOXA10;MLXIPL;ACO1;GLYCTK;EBF3,10,0.2983,exp04_brca-coregtor-r1
49f74ca824e8,ACOT7,PSMA6;ZNF250,2,0.4698,exp04_brca-coregtor-r1
6c419b1e004f,ACOT8,LAS1L;CSTF2,2,0.3122,exp04_brca-coregtor-r1
bf33362c9e90,ACOT9,TCF4;RBMS1;FLI1;MITF;MEF2C;BNC2;ZNF423;ETS1;DAB2;JAZF1;EIF5A2;ZNF438;CEBPG;HIVEP2;RBPJ,15,0.1363,exp04_brca-coregtor-r1
681439f9914b,ACOX1,FOXN3;NNT;EBF1;MTHFD1;UGP2;MLXIPL;TEAD1;GPAM;TFE3;MBD2;ESR2;ZEB2;FOXN2;SATB2;VAMP3;RXRG;ACO1,17,0.1261,exp04_brca-coregtor-r1
5daf4be29b6d,ACOX2,MTHFD1;EBF1;EBF3;DUSP22;ZFP92;NR3C1;TEAD1;VAMP3;TOB2;CREBL2;FOXN3;NNT;MBD2;FOXP2;ACO1;ZEB2;ESR2,17,0.0935,exp04_brca-coregtor-r1
e196a3850c9e,ACOX3,ZNF737;ZBTB43,2,0.1658,exp04_brca-coregtor-r1
3fd33c245f82,ACP1,NAP1L1;TERF1,2,0.1896,exp04_brca-coregtor-r1
4f40b0e97f23,ACP2,ZNF768;SIRT6,2,0.2973,exp04_brca-coregtor-r1
911a11820d76,ACP5,ZNF621;ZNF558,2,0.4873,exp04_brca-coregtor-r1
61c8e8c64a97,ACP6,ZNF827;ZNF599,2,0.2464,exp04_brca-coregtor-r1
bb050f8b57ff,ACSF2,ZSCAN31;UQCRB,2,0.3566,exp04_brca-coregtor-r1
