cluster_uid,target,sources,n_sources,silhouette_score,note
66e87a200654,NFKBIA,SSRP1;VEZF1;MBD1;PML;NONO;CTNNB1;ARNT;ETS2;ZBTB4;NFKB1;USF1;ETS1;RARA;BCLAF1;ZBTB17;NR1D1;SMARCA1;LRRFIP1;HSF1;HES1;NR1H2;SP100;RELA;E4F1;PBX2;IRF3;ARID5A;STAT3;MBD2;SND1;MEF2D;SRF;NFIC;CEBPB;CREB3;ATF6B;TEAD2;STAT5A;ATF4;HDAC1;STAT5B;STAT6;RFX5;CEBPD;HDAC3,45,0.4546,exp05_kidney_cortex-coregtor-r1
ab7821216364,OGA,STAT5B;BCLAF1;CTNNB1;ETS1;ARNT;RXRB;MAX;NFE2L2;SMARCA1;ZSCAN18;SP100;NONO;CREBZF;SP1;NFKB1;STAT6;SMARCC1;STAT5A;ZNF76;ZNF384;PML;KLF6;UBP1;PBX2;MBD1;USF1;CTBP1;MEF2D;RELA;SND1;IRF3;RFX5;CIC,33,0.3806,exp05_kidney_cortex-coregtor-r1
612f8d0d3425,PCNA,SFPQ;E2F4;EWSR1;NFYC;UBTF;SSRP1;SKI;TRIM28;ATF6B;NCOR2;TFDP1;HDAC1;GTF2F1;CREB3;NFIC;CIC;NFKB1;E4F1;APEX1;SIRT6;UBP1;CTBP1;HDAC3;CTNNB1;KDM2A;BCLAF1;MXD4;DMAP1;ZNF362;ZNF384;SREBF2;ARNT;SMARCA1;RFXANK;KMT2B;HNF1B,36,0.4861,exp05_kidney_cortex-coregtor-r1
5ae1eea442fc,PDK4,MXI1;HTATIP2;MAX;HMGB2;STAT6;PRDM4;MAFG;SMARCC1;ATF5;KLF10;KLF9;KLF6;STAT3;ERF;MLX;ARNT;ATF4;XBP1;NFE2L1;YBX1;EGR1;NFIL3;TFCP2L1;RORC;TFE3;MXD4;EPAS1;HIF1A;PAX8;NPAS2;CREB3;KLF13;ESRRA;BCL6;NR1H2;NONO;ZSCAN18,37,0.2929,exp05_kidney_cortex-coregtor-r1
a45550678ddf,PDLIM7,E2F4;RARA;RELA;PML;MLXIP;EWSR1;LRRFIP1;STAT5A;ETS1;ABL1;GTF2F1;PPARD;SSRP1;NCOR2;CTNNB1;ZBTB17;MEF2D;VEZF1;ATF6B;SKI;NFKB1;KDM2A;NONO;SMARCA1;CREBZF;UBP1;MYRF;NFIC;USF1;STAT6;HDAC1;SND1;SF1;CREB3;KMT2B;STAT2;TFE3;APEX1;SIRT6;E4F1;TRIM28;STAT3;ARNT;BCLAF1;STAT5B,45,0.3248,exp05_kidney_cortex-coregtor-r1
8e1aada8682f,PER1,ETS2;FOSL2;RELA;NFIL3;BCL6;ETS1;ARID5A;STAT5B;SND1;KLF6;KLF9;HMGB2;TFE3;HES1;SMARCA1;CTNNB1;NFE2L2;ATF4;CEBPB;NONO;ZSCAN18;SP100;JUNB;ERF;NFKB1;SRF;NR1D1;ARNT;MAFF;STAT5A;SMARCC1,31,0.3299,exp05_kidney_cortex-coregtor-r1
7118ef6181a6,RHOA,CTNNB1;STAT5B;SSRP1;NONO;RFX5;CREB3;ARNT;SMARCA1;HDAC1;NFKB1;STAT6;MBD1;GTF2F1;MBD2;PML;BCLAF1;USF1;VEZF1;NR1H2;E4F1;ATF6B;SMARCC1;ZBTB4;ETS1;SND1;HMGB2;HSF1;UBP1;SIRT6;RFXANK;TRIM28;ABL1;HDAC3;MAX;APEX1;ZBTB17;EWSR1;KDM2A;YY1;HMGB1;SKI,41,0.3615,exp05_kidney_cortex-coregtor-r1
f473fe9ebd7e,SOCS3,STAT3;ETS2;NFKB2;NFIL3;XBP1;CEBPD;SMAD3;FOSL2;ARID5A;BCL3;PPARD;CEBPB;SRF;MAFF;RELB;TFE3;HIF1A;NFE2L2;JUNB;SP100;RELA,21,0.5002,exp05_kidney_cortex-coregtor-r1
98eeee7a9019,SOD2,RORC;NFIL3;RELA;FOSL2;ETS2;MAFF;HTATIP2;RELB;BHLHE40;HIF1A;NFKB2;XBP1;BCL6;CEBPD;IRF9;ARID5A;STAT1;MXI1;STAT3;JUN;MYRF;ETS1;CEBPB,23,0.4057,exp05_kidney_cortex-coregtor-r1
1eb1a896d850,SPARC,SMARCA1;ARNT;NONO;CREBZF;ATF6B;EWSR1;CTNNB1;BCLAF1;STAT6;STAT5A;SSRP1;STAT5B;MEF2D;HDAC1;APEX1;GTF2F1;RFX5;UBP1;SND1;MAX;USF1;IRF3;NFKB1;SKI;CREB3;TRIM28;CTBP1;SMARCC1;SRF;KDM2A;NFIC;RXRB;PML;SP100;CIC,35,0.4017,exp05_kidney_cortex-coregtor-r1
e04b648e469a,SQSTM1,MAFG;TFE3;STAT6;ABL1;HTATIP2;NR1H2;CTNNB1;STAT3;CREB3;XBP1;SMARCC1;GTF2F1;SSRP1;ZBTB7B;ENO1;RFX5;CIC;EWSR1;NONO;HDAC3;ATF5;NFE2L1;IRF9;ATF6B;STAT1;SIRT6;SP1;SRF;TRIM28;KDM2A;ERF;SND1;APEX1;NFIC;SF1;ARNT;STAT5B;E2F4;ZNF76;PBX2;MBD1;RXRB;RELA;KMT2B;SMAD3;NPAS2;RELB,47,0.3312,exp05_kidney_cortex-coregtor-r1
00b2416bb183,SUMO1,CREBL2;ZNF32;APEX1;GTF3A;HMGB1;YBX1;UBP1;THAP11;RFXANK;NR1H3;MXI1;MBD2;NONO;HSF1;ING4;USF2;MLX;MAX;TFDP1;RFX5;ZBTB4;DRAP1;HDAC3;HMGB2;NR1H2;ATF4;CTBP1;YY1;HOXA9,29,0.0,exp05_kidney_cortex-coregtor-r1
428cf7500996,TAGLN,SMARCA1;SSRP1,2,0.4064,exp05_kidney_cortex-coregtor-r1
5b89eea059a5,TGFB1,ARNT;ZBTB4;SIRT6;NFKB1;SSRP1;ZBTB17;ATF6B;USF1;TRIM28;MBD1;RELA;VEZF1;NFIC;SRF;BCLAF1;CIC;ABL1;E4F1;HDAC1;SKI;PBX2;STAT2;MLXIP;STAT5A;ETS1;HDAC3;KDM2A;CTBP1;MEF2D;TEAD2;STAT6;LDB1;PHF1;NFATC4;PPARD;STAT5B;PML;CTNNB1;NR2F2;LRRFIP1;IRF3;KMT2B;CREB3,43,0.4048,exp05_kidney_cortex-coregtor-r1
9b8ed9c4a893,TGFBR2,STAT5B;BCLAF1;NFE2L2;IRF3;UBP1;NONO;ZBTB4;MBD2;ETS1;CTBP1;MAX;PBX2;MBD1;SP100;YY1;SMARCC1;CTNNB1;SMARCA1;VEZF1;NFKB1;RFX5;CREBZF;ZNF76;ZSCAN18;PML;HDAC3;YBX1;HSF1;ZNF384;CIC;TFE3;RXRB;ABL1;MXI1;NR1H2;ARNT,36,0.4344,exp05_kidney_cortex-coregtor-r1
a66626469de5,TIMP1,RELA;GTF2F1;SSRP1;SND1;STAT6;STAT3;MLXIP;ARNT;CTNNB1;PML;SMARCA1;CEBPB;ATF6B;CREB3;HMGB2;NFKB1;NONO;MEF2D;TFE3;SRF;HDAC1;DRAP1;STAT5A;SIRT6;TRIM28;CEBPD;UBP1;ABL1;RARA;EPAS1;LRRFIP1;TEAD2;NFIC;XBP1,34,0.3236,exp05_kidney_cortex-coregtor-r1
c8664596db58,TIMP3,NFKB1;MXD4;KLF9;THRA;NFIC;MBD1;EPAS1;NR2F2;SKI;ARNT;SSRP1;VEZF1;TEAD2;NCOR2;SIRT6;ZBTB4;KDM2A;USF1;SF1;SFPQ;HDAC1;CIC;SRF;ATF6B;HOXB2;LRRFIP1;LDB1;NFATC4;THAP11;NR2F1;CTNNB1;TCF7L1;E4F1;STAT2;RXRB;TRIM28;EWSR1;BCLAF1;DRAP1,39,0.4678,exp05_kidney_cortex-coregtor-r1
dc9290c90e4d,TKT,STAT6;XBP1;SND1;IRF9;HTATIP2;MAFG;ENO1;SMARCC1;TFE3;SP1;SOX9;RXRB;ATF5;NPAS2;STAT3;ZBTB7B;NR1H2;CIC;SSRP1;HIF1A;MYRF;KMT2B;ABL1;KLF13;ATF6B;HDAC3;MBD1;SIRT6;SREBF2;HNF1B;ZNF76;CTNNB1;SMARCA1;CREB3;STAT1;KDM2A,36,0.3303,exp05_kidney_cortex-coregtor-r1
be6d4eefb07d,TNFRSF10B,ETS2;NFKB2;ETS1;SMAD3;ARID5A;PML;MYRF;PPARD;RELB;RARA;HIF1A;RELA;LRRFIP1;NFKB1;MLXIP;STAT5A;FOSL2;TFE3;MAFK;STAT5B;HMGB2;NFE2L2;BCL3;NONO;ABL1;SP100,26,0.3364,exp05_kidney_cortex-coregtor-r1
b98697a05d99,TNFSF10,CTNNB1;SMARCC1;SOX9;MYRF;SP1;STAT1;SMARCA1;HTATIP2;ATF6B;CIC;XBP1;SSRP1;RELB;NPAS2;STAT6;RXRB;NFE2L2;MAFG;IRF9;TFE3;NFKB1;STAT5B;NR1H2;CEBPD;STAT3;ELF3;TRIM28;VEZF1;KDM2A;MLXIP;KLF6;MBD1;LRRFIP1;ATF5;SALL1;IRF3;RFX5;NONO;HMGB2;KMT2B;SND1;SIRT6;EMX2;HDAC3;HNF1B;HIF1A,46,0.2335,exp05_kidney_cortex-coregtor-r1
e3801c9d9873,TXN,GTF3A;NONO;NR1H2;ESRRA;CREBL2;ATF5;MLX;MBD2;SMARCC1;HTATIP2;APEX1;RFXANK;EMX2;MLXIPL;PRDM4;ENO1;HOXA9;THAP11;NR1H3;YBX1;HDAC3;LMO2;MXI1;CREB3;DRAP1;HNF4A;RFX5,27,0.3013,exp05_kidney_cortex-coregtor-r1
6a3caa2a2d10,VEGFA,SMAD3;HSF4;RORC;CEBPB;RELA;MAFG;NFIL3;MXI1;FOSL2;ARNT;ETS2;ABL1;MAFF;RELB;ARID5A;JUNB;NFKB2;BHLHE40;ETS1;HSF1;NFE2L2;NR1D1,22,0.5679,exp05_kidney_cortex-coregtor-r1
28799467d400,VIM,BCLAF1;NFKB1;STAT6;NONO;SMARCA1;CTNNB1;SRF;PML;ARNT;HDAC1;CREBZF;STAT5B;RFX5;TRIM28;UBP1;NFKB2;MAX;ATF6B;SMARCC1;MYRF;SIRT6;MEF2D;ING4;STAT5A;USF1;E4F1;ZSCAN18;IRF3;SP100;ETS1;CTBP1;RXRB;SSRP1;CREB3;SND1,35,0.3157,exp05_kidney_cortex-coregtor-r1
