Unnamed: 0,cluster_uid,target,sources,n_sources,silhouette_score,note,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_jaccard,exp_name,dataset,tool,result_name,Unnamed: 0.2,Unnamed: 0.1,grn_collectri_f1,method
21,799f3bba1511,HSP90AA1,FOXO4;FOXJ3;ZNF316,3,0.2645,exp03_amygdala-coregtor-r1,0.44444,0.33333,0.44444,1.34487,0.0,2.71326,0.60056,1.56211,0.59577,0.0,0.0,0.0,exp03,amygdala,coregtor,r1,,,,
22,07777484ddf1,HSPA1A,EGR1;JUN;FOS;ATF3;DDIT3;NFIL3;HMGB2;KLF15;XBP1;MAFK;YBX1,11,0.4287,exp03_amygdala-coregtor-r1,0.6,0.70303,0.56667,20.67359,43.47527,12.53778,0.54875,1.9461,0.44973,0.18182,0.08,0.05882,exp03,amygdala,coregtor,r1,,,,
23,62c08fc74558,HSPA4,SSRP1;SMARCA5;TERF2;FOXJ3;ZSCAN18;CEBPG;NONO;YY1;TBPL1;SF1;BCLAF1;CTCF;E2F4;ATF2;MAX;SND1;CREB3;MLX;FOXO3;NFYC;NFE2L1;GTF2F1;XBP1;SMARCA1;NCOR2;DDIT3;EWSR1;SFPQ;THAP11;STAT5B;CBFB;TFE3;SRF;JAZF1,34,0.255,exp03_amygdala-coregtor-r1,0.52763,0.53327,0.53238,13.02393,15.62491,12.8665,0.50109,1.57958,0.42684,0.14706,0.12195,0.07143,exp03,amygdala,coregtor,r1,,,,
24,a01c514dd2ab,ID3,ID1;BCL6;CEBPB;RFX4;RFX5;CEBPD;STAT2;NFE2L1;IRF3;RELA;BHLHE41;HMGB2;HDAC1;STAT5B;STAT1;IRF9;ATF4;YBX1;DDIT3;ATF6B;ZBTB17;STAT3;MLXIPL;EPAS1;MAX;ZNF316;ZEB1;TFE3;SOX10;USF2;NFE2L2;PIR;CBFB;NFIL3,34,0.0,exp03_amygdala-coregtor-r1,0.52198,0.571,0.52911,8.48097,23.84127,6.67876,0.55252,1.83513,0.46976,0.02941,0.04762,0.01852,exp03,amygdala,coregtor,r1,,,,
25,5c9f36fc9abc,KAT2B,NCOA1;NFIA;NFE2L2;MXI1;HDAC1;ID4;ZHX2;ZNF24;TCF12;NONO;ATF2;ZBTB4;HMGB1;ZNF362;NR2E1;TFDP1;POU3F3;ZEB1;RXRA;SALL2;SOX2;FOXO3;SOX21;SMARCA5;HES4,25,0.3818,exp03_amygdala-coregtor-r1,0.50333,0.53833,0.53111,8.53723,15.80936,9.5269,0.5382,1.72478,0.46473,0.04,0.02326,0.01493,exp03,amygdala,coregtor,r1,,,,
26,510e5efbcde3,MAT2A,STAT2;CREBZF;ABL1;ATF6B;STAT5B;SF1;PBX2;SFPQ;TCF12;BCLAF1;ZNF24;NONO;VEZF1;ZNF316;ZNF189;STAT1;FOXJ3;SREBF1;STAT3,19,0.222,exp03_amygdala-coregtor-r1,0.52632,0.49805,0.51657,10.28059,13.0166,9.95632,0.5316,1.61619,0.46406,0.0,0.0,0.0,exp03,amygdala,coregtor,r1,,,,
27,ba640ca9d2b8,MCL1,HIF1A;SOX9;STAT3;JUNB;NFE2L2;NR4A1;HES4;RELA;KLF16;EGR1;ENO1;XBP1;ATF3;RFX4;RXRA;JUN;SF1;HIF3A;NFIL3;FOS;BHLHE40;NFIA;HMGB2;ETS2;LHX2;ERF;HDAC1;BCL6;NR1D1;CEBPD;EPAS1;ARID5A;EGR3;ATF5;PBX2;CEBPB;CBFB;YBX1;PIR;KLF9;SRF;KLF15;TFE3;PPARD,44,0.3198,exp03_amygdala-coregtor-r1,0.52343,0.58703,0.5244,10.61079,23.67667,8.45891,0.55066,1.85005,0.46151,0.15909,0.18919,0.09459,exp03,amygdala,coregtor,r1,,,,
28,fe3437e01497,NDRG1,SOX10;SMARCC1;VEZF1;MYRF;NKX6-2;RBPJ;CBFB;FOXO4;MAFK;ZEB2;MXI1;ZNF24;SOX8;SMARCA5;ABL1;RELA;TCF12,17,0.5428,exp03_amygdala-coregtor-r1,0.46581,0.53676,0.47635,6.80689,12.06682,7.35091,0.52385,1.7498,0.44708,0.0,0.0,0.0,exp03,amygdala,coregtor,r1,,,,
29,93594709d3f8,NFKBIA,IRF3;XBP1;HMGB2;DDIT3;SF1;CBFB;ATF3;RELA;NFIL3;ERF;ARID5A;LMO2;EWSR1;ENO1;STAT3;BCL6;ZHX2;CEBPD;CEBPB;ZSCAN18;ETS2;BCLAF1;CEBPG;HIF3A;KLF15;HIF1A;NFE2L2;MXI1,28,0.4091,exp03_amygdala-coregtor-r1,0.54101,0.57143,0.55026,10.42104,22.29996,8.04471,0.55917,1.82709,0.45911,0.07143,0.05882,0.03333,exp03,amygdala,coregtor,r1,,,,
30,0d04bc1ee60f,OGA,FOXJ3;ZSCAN18;HDAC3;MBD1;NFE2L1;BCLAF1;LDB1;TFCP2;FOXO3;TERF2;SND1;HSF4;SFPQ;NONO;SSRP1;E4F1;RXRB;ATF6B;ZBTB4;SF1;YY1;NFYC;THAP12;STAT5B;DMAP1,25,0.2836,exp03_amygdala-coregtor-r1,0.51278,0.49,0.51611,11.52676,8.12682,10.39273,0.50873,1.54258,0.43572,0.0,0.0,0.0,exp03,amygdala,coregtor,r1,,,,
