cluster_uid,target,sources,n_sources,silhouette_score,note,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
4d9624b7d355,TBC1D20,NRF1;MBD1;CNOT4;SMAD2;SMAD4;ZNF623;DIDO1;ZNF800;ZKSCAN1;ZDHHC5;TBP;ZNF619;ADNP,13,0.2705,exp01_blood-coregtor-r1,0.47863,0.42415,0.48077,6.53177,3.49797,4.6398,0.43603,1.20702,0.40715,,,,
859ecd50c53e,TBC1D22A,LDB1;NELFB;ATF6B;STAT5A;ZNF335;SNAPC4;RXRB;ZGPAT;GTF3C2;TERF2;HDAC1;ZNF707;E4F1;DEAF1;PTCD1;USF2;EWSR1,17,0.0,exp01_blood-coregtor-r1,0.48897,0.47672,0.50245,5.85633,4.48963,5.23971,0.47069,1.38985,0.41102,,,,
8d229a622398,TBC1D22A-AS1,HOXA4;HIC2,2,0.2334,exp01_blood-coregtor-r1,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.60887,1.65868,0.51928,,,,
956ed2c29005,TBC1D22A-DT,MAFF;GTPBP1;GZF1;PHF1;JUN;BHLHE40;ATF3;CYCS;CHD2;SNAI1,10,0.463,exp01_blood-coregtor-r1,0.54815,0.55185,0.52963,15.6844,22.64321,6.36864,0.4336,1.23578,0.40925,,,,
16986fba0a08,TBC1D22B,FOXO4;TAL1;EZH2;ZNF653;E2F2;MBNL2;SOX6;ZNF23;TCF3;KLF1;NFIX;UBB,12,0.4048,exp01_blood-coregtor-r1,0.4899,0.52525,0.49747,4.90763,11.80787,5.9916,0.53913,1.53913,0.48845,,,,
0e7921429f7c,TBC1D23,GABPA;ZNF24;VEZF1;ZNF12;ZBED5;RBM7;THAP5;ZNF518A;FOXN2;CCNT2;ZNF148;ING3,12,0.0,exp01_blood-coregtor-r1,0.44949,0.37879,0.4596,4.60706,0.57377,4.83577,0.58843,1.4598,0.5612,,,,
6ddde1ace1d8,TBC1D24,ZNF500;ZDHHC24,2,0.2453,exp01_blood-coregtor-r1,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.22537,0.32454,0.29927,,,,
9e589ee35747,TBC1D25,KAT7;NELFA;SF1;ZNF598;SMARCC2;SOX13;BRF1;HMGXB3;TAF6;RELA,10,0.2353,exp01_blood-coregtor-r1,0.5037,0.45,0.52593,8.90784,5.44387,11.56582,0.34375,1.21203,0.30001,,,,
ebc4ea21e988,TBC1D27P,SMARCC2;PAX5;PRDM4;EBF1;ZNF460;ZNF860;ZNF331;SOX5;ZNF532;SALL4;E2F5;ZNF76;SNAI1;ZBED2;NR4A1;IRF8;PHF1;SP140;TRAF4;POU2AF1;TCF4;TEAD2;BCL11A;KDM7A;MECP2;POU6F1;ZBTB32;HHAT;SNAPC4;TRMT1;SCMH1;ARNTL;KDM2A;SPIB;ZBTB20;HDAC3;BHLHE41;PPARD;SPATS2;ZNF610;ARNT;BANP,42,0.3665,exp01_blood-coregtor-r1,0.41744,0.45209,0.42083,2.80139,5.54028,2.6298,0.46768,1.28826,0.43402,,,,
9fd87eb2f60c,TBC1D2B,METTL14;ZNF623;ZNF8;ZNF169;TBP;ZSCAN29;DIS3;ZNF619;DIDO1;ZNF740;ZNF830;ZNF417;ADNP;ZNF189;ZNF765;ZNF24;CNOT4;SMAD4;ZNF764;ZKSCAN5;ZNF182;CHAMP1;ZNF81;MIEF1;ZNF384;ZNF398;ZNF397;ZNF440;ZNF780B;ZNF710;CDC5L;SMC3;ZNF611;RBBP5;ZBTB14;CERS2;CTNNB1;ZNF436;PHF2;ZNF41;ZKSCAN1,41,0.4223,exp01_blood-coregtor-r1,0.45315,0.41636,0.46321,5.11218,2.66009,4.67123,0.55155,1.35013,0.53306,,,,
9b27338c9ae0,TBC1D30,RUNX2;RBM22;HIVEP1;HIVEP2;NCOA1;NFE2L2;PHF12;NFIL3;STAT3;CEBPB;KDM2A;CHD1;BCL3;NFAT5;ZHX2;ZC3H7A;ARID5A;KDM5A;AGAP2;MXD1;CNOT3,21,0.4015,exp01_blood-coregtor-r1,0.51746,0.51111,0.52143,7.56249,10.7419,7.20673,0.44201,1.3384,0.38734,,,,
2f9c4e47b0d8,TBC1D31,PPP5C;CREB3L2;GATAD1;HOXB4;FUBP1;IKZF3;POLR3A;MGA;HOXB3;DNMT1;NNT;ZNF146;ZNF678;HP1BP3;NELFA;TCF12,16,0.2528,exp01_blood-coregtor-r1,0.46528,0.44167,0.47083,6.89969,4.45886,7.14409,0.44057,1.21238,0.41553,,,,
c96f346d4959,TBC1D32,ZNF841;ZBTB5;ZNF827;TCF12;ZFP62;ZNF548;ZNF251;NAP1L1;FUBP1;ZNF26;ZNF266;ZNF121;RFX7;KLF12;ZNF529;DNAJC21;MEX3C;ZNF75D;ZNF483;CREBZF;ILF3;MTF2;TRIB2;PDS5A;CARF;ELK4;ZNF639;NR1D2;OTUD4;ZNF550;HSF2;ZNF83;HP1BP3;ZNF236;GLIS3,35,0.2146,exp01_blood-coregtor-r1,0.40294,0.37143,0.43403,3.27317,0.80381,3.22677,0.604,1.44487,0.58056,,,,
4dafd26eb304,TBC1D3L,TFEB;MEF2B;ZNF746;NFE4;TFE3;ACAA1;USF1;GLI1;ARID3A;C19orf25;STK40;GLIS2;ZNF438,13,0.1678,exp01_blood-coregtor-r1,0.38248,0.3953,0.38462,1.986,2.48293,1.59745,0.47261,1.15914,0.47142,,,,
d1ef368275d5,TBC1D4,ZNF33B;NR3C2;ZNF141;ZNF529;MRPS25;ZNF483;ZFP1;DHX36;CREBL2;ZFP62;ZNF248;NAP1L1;TRIB2;ZXDB;ZNF154;HSF5;ZNF184;ZNF891;NR2C1;ZBTB25;ZNF550;NR1D2;ZNF461;ZNF354B;HSF2;CARF;ZNF420;ZNF570;ZNF781;ELK4;LEF1;DNAJC21;BCL11B;RUFY3;ZNF792;ZNF506;ZNF548;ZZZ3;PURA;ZNF343;RBBP9,41,0.3291,exp01_blood-coregtor-r1,0.36301,0.38033,0.39787,1.5556,0.77612,1.8744,0.59179,1.46808,0.57201,,,,
d0ac03ad1736,TBC1D5,YY1;IKZF1;BPTF;NUP133;ZSCAN29;ZBTB2;ADNP;ZNF317;ZFP91;GTF2I;ELF1;SMAD2;ZNF800;SMC3,14,0.3119,exp01_blood-coregtor-r1,0.54762,0.47161,0.54945,16.05929,7.26019,16.59102,0.4997,1.34881,0.46578,,,,
1d3f3ef56728,TBC1D7,RLF;GZF1;DDIT3;NFYA;CLK1;HNRNPH3;MXD1;CHD2;HIF1A;ELF1;NFIL3;REL;GTPBP1,13,0.3053,exp01_blood-coregtor-r1,0.50855,0.45299,0.51709,5.03271,6.50127,4.3758,0.46251,1.27138,0.43871,,,,
9584ed08758e,TBC1D8,RBMS1;MEF2A;CD59;MCTP2;DACH1;PHTF1;MLXIP;STAT5B,8,0.4424,exp01_blood-coregtor-r1,0.43452,0.41667,0.42857,1.256,1.94982,1.44594,0.32463,0.93054,0.31236,,,,
c5e35524a94f,TBC1D8-AS1,SMUG1;ZNF35,2,0.2678,exp01_blood-coregtor-r1,0.33333,0.33333,0.5,0.0,0.0,1.00943,0.35985,0.86085,0.37094,,,,
62d3121e21ab,TBC1D8B,ZNF189;ZNF518A;ZNF28;SRP9;DR1;FOXN2;CEBPZ;ZNF585A;JRKL;ZSCAN30,10,0.1714,exp01_blood-coregtor-r1,0.41111,0.35926,0.42222,6.30737,0.35524,3.34995,0.56541,1.33569,0.54913,,,,
d8e57453cf5d,TBC1D9,MEF2C;ZNF532;ZFHX3;NCBP2;ZNF41;PURA;ELK3;RUFY3;ZNF664;IRF8,10,0.0,exp01_blood-coregtor-r1,0.42963,0.38519,0.45185,2.2672,1.18815,2.67968,0.46895,1.30289,0.43496,,,,
