cluster_uid,target,sources,n_sources,silhouette_score,note,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
d13a266337ef,SIRPA,SPI1;MAFB;ZEB2;DAB2;TFEC,5,0.0,exp01_luad-coregtor-r1,0.45,0.7,0.45,1.71283,15.57217,2.06652,0.47257,1.78991,0.39512,,,,
a8b4a5b2a927,SIRPAP1,CBX7;NME1;ZNF366;FLI1;NFIX;YWHAZ;GATA6;CAT,8,0.1837,exp01_luad-coregtor-r1,0.4881,0.47619,0.53571,8.18476,3.80777,5.78236,0.39655,1.19058,0.36111,,,,
0c497ebc01b2,SIRPB1,SPI1;GPD1;TCF21;ZEB2;FLI1;FOXF1;CAT,7,0.2929,exp01_luad-coregtor-r1,0.40476,0.50794,0.4127,1.66223,6.18312,2.65275,0.37813,1.45158,0.32424,,,,
05cfcbdb93b3,SIRPB2,TFEC;ZEB2;SPI1,3,0.0,exp01_luad-coregtor-r1,0.44444,0.66667,0.44444,2.77843,12.57084,3.92725,0.53628,1.87077,0.47855,,,,
339700caed82,SIRPD,GPD1;ZEB2;FLI1;TRAF4;SPI1;TCF21;CAT;CSTF2,8,0.1742,exp01_luad-coregtor-r1,0.44643,0.47619,0.44643,1.85988,4.28651,3.1707,0.32643,1.1287,0.28771,,,,
150863c2131b,SIRPG,FOXP3;GFI1;IL21;SP140,4,0.0,exp01_luad-coregtor-r1,0.38889,0.58333,0.38889,0.81783,24.33995,0.88899,0.46667,1.62319,0.36924,,,,
9477b25dc9ce,SIRT1,SMC3;ZFHX3;LCOR;CREB1;BPTF;ZBTB44;ARNT;BDP1;BCLAF1;ZNF24;IKZF5;ELF2;POLR3A;NCOR1;LCORL;GTF2A1;FOXJ3,17,0.2352,exp01_luad-coregtor-r1,0.5049,0.4712,0.51716,10.59613,6.00593,9.68346,0.50012,1.38709,0.45314,,,,
2198b709684c,SIRT2,ZNF326;XRCC1,2,0.1525,exp01_luad-coregtor-r1,0.5,0.5,0.5,26.90337,0.23381,22.65495,0.37591,1.38492,0.2572,,,,
4b3100585bf0,SIRT3,DEAF1;NKX2-1;ZNF444;LDB1,4,0.1918,exp01_luad-coregtor-r1,0.5,0.5,0.5,5.08164,2.83517,3.24119,0.58854,1.76499,0.50866,,,,
8e1e31b092de,SIRT4,FOSL1;NKX2-1;IRX5;ZNF691;MXD1;FOSL2;PDLIM5;SUCLG1,8,0.1991,exp01_luad-coregtor-r1,0.47024,0.42857,0.48214,4.8777,3.77655,3.0784,0.43787,1.17367,0.42812,,,,
aee07ed02c4e,SIRT5,BANP;PRDM4,2,0.1514,exp01_luad-coregtor-r1,0.5,0.5,0.5,2.6126,1.2389,2.43657,0.43,0.83779,0.46343,,,,
5c6e4e0013df,SIRT7,ARFGAP1;ASPSCR1;ZNF692;E4F1;TRAF4;IRF3;ZNF513;HMGA1;SNRNP70;DAZAP1;MXD3;ETV1;NOC2L,13,0.2291,exp01_luad-coregtor-r1,0.45085,0.45085,0.45726,5.96508,1.8493,5.42048,0.41873,1.10072,0.39448,,,,
7e22f8e114a1,SIT1,SP140;SPIB;GFI1;FOXP3;AGAP2;EOMES;IL21;ZNF683;TBX21,9,0.0,exp01_luad-coregtor-r1,0.34491,0.60648,0.3588,0.74721,31.94477,0.75939,0.50511,1.66175,0.42456,,,,
