plot_tool,index,target,sources,method,value
CoRegTor,goa_similarity_jc,TAGLN,GADD45A;TAGLN2;CSNK2B;HNRNPA1;TRIP10,exp02_lung-coregtor-n_five,0.31494
CoRegTor,goa_similarity_jc,TIMP1,TPI1;YBX1;PKM;P4HB;RPL35,exp02_lung-coregtor-n_five,0.32089
CoRegTor,goa_similarity_jc,TIMP3,EPAS1;KLF9,exp02_lung-coregtor-n_five,0.5004
CoRegNet,goa_similarity_jc,CDKN1A,BCL3;BHLHE40;ETS2;GADD45A;JUNB;NR4A1,exp02-coregnet,0.44309
CoRegNet,goa_similarity_jc,DUSP1,BHLHE40;EGR1;FOS;GADD45A;JUN;JUNB;KLF4;NR4A1,exp02-coregnet,0.44505
CoRegNet,goa_similarity_jc,FN1,BCL3;BHLHE40;FOS;GADD45A;NR4A1,exp02-coregnet,0.36128
CoRegNet,goa_similarity_jc,HBB,BCL3;FOS;GADD45A,exp02-coregnet,0.32164
CoRegNet,goa_similarity_jc,HLA-E,BCL3;EPAS1;ETS2;GADD45A;JUN;JUNB;NR4A1;TRIP10,exp02-coregnet,0.41592
CoRegNet,goa_similarity_jc,HSP90AA1,HSPA5;JUN,exp02-coregnet,0.29021
CoRegNet,goa_similarity_jc,NFKBIA,BCL3;EGR1;ETS2;GADD45A;JUNB;KLF4;KLF9;NR4A1,exp02-coregnet,0.42912
CoRegNet,goa_similarity_jc,PDK4,BCL3;EGR1;FOS,exp02-coregnet,0.35231
CoRegNet,goa_similarity_jc,SOCS3,BCL3;BHLHE40;EGR1;GADD45A;JUNB;NR4A1,exp02-coregnet,0.40271
CoRegNet,goa_similarity_jc,SPARC,FOS;GADD45A,exp02-coregnet,0.27896
CoRegNet,goa_similarity_jc,TAGLN,FOS;GADD45A;NR4A1,exp02-coregnet,0.35318
CoRegNet,goa_similarity_jc,TIMP1,EGR1;GADD45A,exp02-coregnet,0.30103
CoRegNet,goa_similarity_jc,TIMP3,EPAS1;KLF9;NR4A1,exp02-coregnet,0.53532
CoRegTor,shortest_PPI_path_score_hippie,CDKN1A,GADD45A;BCL3;ETS2,exp02_lung-coregtor-n_five,0.5
CoRegTor,shortest_PPI_path_score_hippie,DUSP1,JUN;NR4A1;EGR1,exp02_lung-coregtor-n_five,0.66667
CoRegTor,shortest_PPI_path_score_hippie,FN1,HNRNPA1;YWHAZ;CSNK2B;TRIP10;GADD45A,exp02_lung-coregtor-n_five,0.6
CoRegTor,shortest_PPI_path_score_hippie,HBB,SNRNP70;BCL6;BHLHE40;RPL35;TAGLN2,exp02_lung-coregtor-n_five,0.55
CoRegTor,shortest_PPI_path_score_hippie,HLA-E,TRIP10;EPAS1,exp02_lung-coregtor-n_five,0.5
CoRegTor,shortest_PPI_path_score_hippie,HSP90AA1,STAT6;ANXA1;KLF6;NUCB1;CLK1;GADD45A,exp02_lung-coregtor-n_five,0.5
CoRegTor,shortest_PPI_path_score_hippie,NFKBIA,GADD45A;TBX2;JUNB;ETS2;BCL3;HSPA5;TRIP10,exp02_lung-coregtor-n_five,0.49206
CoRegTor,shortest_PPI_path_score_hippie,PDK4,BCL3;KLF9;BHLHE40;PKM;KLF4;CEBPB,exp02_lung-coregtor-n_five,0.48889
CoRegTor,shortest_PPI_path_score_hippie,SOCS3,BCL3;JUNB;ETS2;BHLHE40;GADD45A,exp02_lung-coregtor-n_five,0.5
CoRegTor,shortest_PPI_path_score_hippie,SPARC,TBX2;TAGLN2;CSNK2B;YWHAZ;TRIP10,exp02_lung-coregtor-n_five,0.5
CoRegTor,shortest_PPI_path_score_hippie,TAGLN,GADD45A;TAGLN2;CSNK2B;HNRNPA1;TRIP10,exp02_lung-coregtor-n_five,0.55
CoRegTor,shortest_PPI_path_score_hippie,TIMP1,TPI1;YBX1;PKM;P4HB;RPL35,exp02_lung-coregtor-n_five,0.55
CoRegTor,shortest_PPI_path_score_hippie,TIMP3,EPAS1;KLF9,exp02_lung-coregtor-n_five,0.5
CoRegNet,shortest_PPI_path_score_hippie,CDKN1A,BCL3;BHLHE40;ETS2;GADD45A;JUNB;NR4A1,exp02-coregnet,0.5
CoRegNet,shortest_PPI_path_score_hippie,DUSP1,BHLHE40;EGR1;FOS;GADD45A;JUN;JUNB;KLF4;NR4A1,exp02-coregnet,0.58929
CoRegNet,shortest_PPI_path_score_hippie,FN1,BCL3;BHLHE40;FOS;GADD45A;NR4A1,exp02-coregnet,0.55
CoRegNet,shortest_PPI_path_score_hippie,HBB,BCL3;FOS;GADD45A,exp02-coregnet,0.66667
CoRegNet,shortest_PPI_path_score_hippie,HLA-E,BCL3;EPAS1;ETS2;GADD45A;JUN;JUNB;NR4A1;TRIP10,exp02-coregnet,0.57143
CoRegNet,shortest_PPI_path_score_hippie,HSP90AA1,HSPA5;JUN,exp02-coregnet,1.0
CoRegNet,shortest_PPI_path_score_hippie,NFKBIA,BCL3;EGR1;ETS2;GADD45A;JUNB;KLF4;KLF9;NR4A1,exp02-coregnet,0.5119
CoRegNet,shortest_PPI_path_score_hippie,PDK4,BCL3;EGR1;FOS,exp02-coregnet,0.66667
CoRegNet,shortest_PPI_path_score_hippie,SOCS3,BCL3;BHLHE40;EGR1;GADD45A;JUNB;NR4A1,exp02-coregnet,0.53333
CoRegNet,shortest_PPI_path_score_hippie,SPARC,FOS;GADD45A,exp02-coregnet,0.5
CoRegNet,shortest_PPI_path_score_hippie,TAGLN,FOS;GADD45A;NR4A1,exp02-coregnet,0.5
CoRegNet,shortest_PPI_path_score_hippie,TIMP1,EGR1;GADD45A,exp02-coregnet,0.5
CoRegNet,shortest_PPI_path_score_hippie,TIMP3,EPAS1;KLF9;NR4A1,exp02-coregnet,0.5
CoRegTor,shortest_PPI_path_score_stringdb,CDKN1A,GADD45A;BCL3;ETS2,exp02_lung-coregtor-n_five,0.5
CoRegTor,shortest_PPI_path_score_stringdb,DUSP1,JUN;NR4A1;EGR1,exp02_lung-coregtor-n_five,1.0
CoRegTor,shortest_PPI_path_score_stringdb,FN1,HNRNPA1;YWHAZ;CSNK2B;TRIP10;GADD45A,exp02_lung-coregtor-n_five,0.55
CoRegTor,shortest_PPI_path_score_stringdb,HBB,SNRNP70;BCL6;BHLHE40;RPL35;TAGLN2,exp02_lung-coregtor-n_five,0.46667
CoRegTor,shortest_PPI_path_score_stringdb,HLA-E,TRIP10;EPAS1,exp02_lung-coregtor-n_five,0.5
CoRegTor,shortest_PPI_path_score_stringdb,HSP90AA1,STAT6;ANXA1;KLF6;NUCB1;CLK1;GADD45A,exp02_lung-coregtor-n_five,0.44444
CoRegTor,shortest_PPI_path_score_stringdb,NFKBIA,GADD45A;TBX2;JUNB;ETS2;BCL3;HSPA5;TRIP10,exp02_lung-coregtor-n_five,0.53968
CoRegTor,shortest_PPI_path_score_stringdb,PDK4,BCL3;KLF9;BHLHE40;PKM;KLF4;CEBPB,exp02_lung-coregtor-n_five,0.66667
CoRegTor,shortest_PPI_path_score_stringdb,SOCS3,BCL3;JUNB;ETS2;BHLHE40;GADD45A,exp02_lung-coregtor-n_five,0.6
CoRegTor,shortest_PPI_path_score_stringdb,SPARC,TBX2;TAGLN2;CSNK2B;YWHAZ;TRIP10,exp02_lung-coregtor-n_five,0.51667
