plot_tool,index,target,sources,method,value
CoRegTor,goa_similarity_jc,NDRG1,OLIG1;FEZ1;HNRNPA1;TSC22D4;RPS4X,exp02_cortex-ba9-coregtor-n_five,0.29076
CoRegTor,goa_similarity_jc,SPARC,HNRNPA1;SNRNP70;TSC22D4;UBXN1;FEZ1;CSNK2B;HSPA5;EWSR1,exp02_cortex-ba9-coregtor-n_five,0.30587
CoRegTor,goa_similarity_jc,STMN1,GOT1;YWHAZ;TCEAL2;NCALD;SOD1;PRDX5;TCEAL6,exp02_cortex-ba9-coregtor-n_five,0.33084
CoRegTor,goa_similarity_jc,VIM,ATF4;CSNK2B;EWSR1;ENO1;RAB7A,exp02_cortex-ba9-coregtor-n_five,0.31292
CoRegNet,goa_similarity_jc,ACTB,AGAP2;BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SNRNP70;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,exp02-coregnet,0.31665
CoRegNet,goa_similarity_jc,APP,AGAP2;BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,exp02-coregnet,0.32103
CoRegNet,goa_similarity_jc,DUSP1,GOT1;NCALD,exp02-coregnet,0.20055
CoRegNet,goa_similarity_jc,FASN,AGAP2;BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SNRNP70;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,exp02-coregnet,0.31665
CoRegNet,goa_similarity_jc,HSP90AA1,AGAP2;BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SNRNP70;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,exp02-coregnet,0.31665
CoRegNet,goa_similarity_jc,MAT2A,BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SNRNP70;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,exp02-coregnet,0.31307
CoRegNet,goa_similarity_jc,NDRG1,NCALD;OLIG1;TSC22D4,exp02-coregnet,0.28474
CoRegNet,goa_similarity_jc,SPARC,GOT1;NCALD;OLIG1;TSC22D4,exp02-coregnet,0.24574
CoRegNet,goa_similarity_jc,STMN1,AGAP2;BHLHE40;CBX7;GOT1;HSPA5;MAPK1;NCALD;NFE2L1;PKM;PRNP;RAN;SNRNP70;SSBP3;TCEAL2;TCEAL6;TPI1;TPPP;UGP2;YWHAZ;ZBTB18;ZMAT2,exp02-coregnet,0.31665
CoRegNet,goa_similarity_jc,VIM,GOT1;NCALD;TSC22D4,exp02-coregnet,0.22336
CoRegTor,shortest_PPI_path_score_hippie,ACTB,NUCB1;CSNK2B;RAB7A;YWHAE;EWSR1,exp02_cortex-ba9-coregtor-n_five,0.5
CoRegTor,shortest_PPI_path_score_hippie,APP,GOT1;TPPP;YWHAZ;MAPK1;NFE2L1,exp02_cortex-ba9-coregtor-n_five,0.5
CoRegTor,shortest_PPI_path_score_hippie,DUSP1,HNRNPA1;ENO1,exp02_cortex-ba9-coregtor-n_five,1.0
CoRegTor,shortest_PPI_path_score_hippie,FASN,SREBF2;AGAP2,exp02_cortex-ba9-coregtor-n_five,0.33333
