"Regulator","Target"
"XBP1","MCL1"
"XBP1","ACTB"
"XBP1","TIMP1"
"XBP1","VIM"
"XBP1","CD14"
"XBP1","SQSTM1"
"XBP1","CRYAB"
"XBP1","PDK4"
"XBP1","APP"
"XBP1","SUMO1"
"XBP1","TKT"
"XBP1","HSP90AA1"
"XBP1","OGA"
"XBP1","GADD45B"
"XBP1","VEGFA"
"XBP1","FASN"
"XBP1","BCL2L1"
"XBP1","PRKACA"
"XBP1","NFKBIA"
"BHLHE22","SPARC"
"BHLHE22","HLA-DRB1"
"BHLHE22","CLU"
"BHLHE22","TXN"
"BHLHE22","PER1"
"BHLHE22","APOE"
"BHLHE22","HSPA4"
"BHLHE22","PCNA"
"BHLHE22","MAT2A"
"BHLHE22","ACTB"
"BHLHE22","VIM"
"BHLHE22","CD14"
"BHLHE22","SQSTM1"
"BHLHE22","CRYAB"
"BHLHE22","PDK4"
"BHLHE22","CSF1R"
"BHLHE22","APP"
"BHLHE22","SUMO1"
"BHLHE22","TKT"
"BHLHE22","HSP90AA1"
"BHLHE22","STMN1"
"BHLHE22","OGA"
"BHLHE22","VEGFA"
"BHLHE22","FASN"
"BHLHE22","BCL2L1"
"BHLHE22","PRKACA"
"RELA","SOD2"
"RELA","HSPA4"
"RELA","NDRG1"
"RELA","PCNA"
"RELA","MAT2A"
"RELA","HLA-E"
"RELA","FN1"
"RELA","MCL1"
"RELA","ACTB"
"RELA","TIMP1"
"RELA","VIM"
"RELA","SQSTM1"
"RELA","TKT"
"RELA","OGA"
"RELA","BCL2L1"
"RELA","NFKBIA"
"STAT1","SOD2"
"STAT1","CLU"
"STAT1","HSPA4"
"STAT1","PCNA"
"STAT1","HLA-E"
"STAT1","MCL1"
"STAT1","ACTB"
"STAT1","TIMP1"
"STAT1","VIM"
"STAT1","SQSTM1"
"STAT1","APP"
"STAT1","TKT"
"STAT1","HSP90AA1"
"STAT1","OGA"
"STAT1","BCL2L1"
"STAT1","PRKACA"
"PIR","SOD2"
"PIR","CLU"
"PIR","TXN"
"PIR","APOE"
"PIR","HSPA4"
"PIR","PCNA"
"PIR","MAT2A"
"PIR","MCL1"
"PIR","ACTB"
"PIR","TIMP1"
"PIR","VIM"
"PIR","SQSTM1"
"PIR","PDK4"
"PIR","SUMO1"
"PIR","TKT"
"PIR","OGA"
"PIR","BCL2L1"
"PIR","PRKACA"
"PIR","NFKBIA"
"STAT2","SOD2"
"STAT2","PER1"
"STAT2","HSPA4"
"STAT2","NDRG1"
"STAT2","PCNA"
"STAT2","MAT2A"
"STAT2","HLA-E"
"STAT2","TAGLN"
"STAT2","FN1"
"STAT2","MCL1"
"STAT2","TIMP1"
"STAT2","VIM"
"STAT2","SQSTM1"
"STAT2","APP"
"STAT2","TKT"
"STAT2","OGA"
"STAT2","ID3"
"STAT2","BCL2L1"
"STAT2","NFKBIA"
"ARID5A","SOD2"
"ARID5A","CLU"
"ARID5A","PER1"
"ARID5A","HSPA4"
"ARID5A","NDRG1"
"ARID5A","MAT2A"
"ARID5A","HLA-E"
"ARID5A","CDKN1A"
"ARID5A","FN1"
"ARID5A","MCL1"
"ARID5A","ACTB"
"ARID5A","TIMP1"
"ARID5A","SQSTM1"
"ARID5A","CRYAB"
"ARID5A","TKT"
"ARID5A","HSP90AA1"
"ARID5A","GADD45B"
"ARID5A","FASN"
"ARID5A","NFKBIA"
"PPARD","SOD2"
"PPARD","TXN"
"PPARD","HSPA4"
"PPARD","NDRG1"
"PPARD","PCNA"
"PPARD","MAT2A"
"PPARD","MCL1"
"PPARD","ACTB"
"PPARD","SQSTM1"
"PPARD","APP"
"PPARD","SUMO1"
"PPARD","TKT"
"PPARD","OGA"
"PPARD","FASN"
"PPARD","BCL2L1"
"PPARD","PRKACA"
"PPARD","NFKBIA"
"NFE2L1","SOD2"
"NFE2L1","TXN"
"NFE2L1","HSPA4"
"NFE2L1","PCNA"
"NFE2L1","MAT2A"
"NFE2L1","MCL1"
"NFE2L1","ACTB"
"NFE2L1","SQSTM1"
"NFE2L1","APP"
"NFE2L1","SUMO1"
"NFE2L1","TKT"
"NFE2L1","OGA"
"NFE2L1","FASN"
"NFE2L1","BCL2L1"
"NFE2L1","PRKACA"
"NFE2L1","NFKBIA"
"E4F1","SOD2"
"E4F1","TXN"
"E4F1","HSPA4"
"E4F1","PCNA"
"E4F1","MAT2A"
"E4F1","MCL1"
"E4F1","ACTB"
"E4F1","SQSTM1"
"E4F1","APP"
"E4F1","SUMO1"
"E4F1","TKT"
"E4F1","OGA"
"E4F1","BCL2L1"
"E4F1","PRKACA"
"E4F1","NFKBIA"
"KLF13","SOD2"
"KLF13","TXN"
"KLF13","HSPA4"
"KLF13","NDRG1"
"KLF13","PCNA"
"KLF13","MAT2A"
"KLF13","MCL1"
"KLF13","ACTB"
"KLF13","SQSTM1"
"KLF13","APP"
"KLF13","SUMO1"
"KLF13","TKT"
"KLF13","HSP90AA1"
