cluster_uid,target,sources,n_sources,method
6a77034f7019,MCL1,APEX1;ARID5A;ARNT2;ATF2;ATF3;ATF4;BCL6;BHLHE40;BHLHE41;CEBPB;CEBPG;CIC;CREBZF;CTBP1;DBP;DDIT3;E4F1;EGR1;EGR3;ENO1;ERF;ETS2;EWSR1;FOS;FOXG1;FOXJ3;GTF2F1;GTF3A;HDAC3;HES1;HES4;HIF1A;HLF;HMGA1;HMGB2;HSF4;ID1;ID2;ID4;JUN;JUNB;JUND;KLF13;KLF16;KLF9;LHX2;LMO2;MAFG;MAZ;MEF2C;MEF2D;MESP1;MLX;MTA3;MYRF;NCOA1;NCOR2;NFE2L1;NFIL3;NKX6-2;NPAS2;NR2E1;NR4A1;PIR;PPARD;RBFOX2;RELA;RFX4;RFX5;SMARCA1;SND1;SOX2;SOX9;SREBF1;SREBF2;STAT1;STAT2;STAT3;TBPL1;TEF;TFE3;THRA;UBP1;XBP1;ZGPAT;ZSCAN18,86,exp05-coregnet
1faa0ca88044,NDRG1,ARID5A;ATF3;ATF4;BCL6;BHLHE41;CEBPB;CEBPG;CREBZF;DDIT3;EGR1;EGR3;ERF;ETS2;FOS;HES4;HES5;HIF1A;HMGB2;HSF4;ID1;ID2;JUN;JUNB;JUND;KLF13;KLF9;MAZ;MYRF;NCOR2;NFIL3;NKX6-2;NPAS2;NR4A1;PPARD;RELA;SOX10;SREBF1;STAT2;STAT3;TFE3;XBP1;ZNF692,42,exp05-coregnet
b62e509cf2eb,NFKBIA,APEX1;ARID5A;ARNT2;ATF3;ATF4;BCL6;BHLHE40;BHLHE41;CEBPB;CEBPG;CIC;CREBZF;DBP;DDIT3;E4F1;EGR1;EGR3;ELK1;ENO1;ERF;ETS2;EWSR1;FOS;FOXG1;FOXJ3;HDAC3;HES4;HIF1A;HIF3A;HLF;HMGA1;HMGB2;HSF4;ID1;ID2;ID4;JUN;JUNB;JUND;KLF13;KLF15;KLF9;LHX2;LMO2;MAFG;MEF2C;MEF2D;MESP1;MLX;MLXIPL;MTA3;MYRF;NCOA1;NCOR2;NFE2L1;NFIL3;NKX6-2;NPAS2;NR1D1;NR1D2;NR4A1;PIR;PPARD;RBFOX2;RELA;RFX4;RFX5;SMARCA1;SND1;SOX9;SREBF1;SREBF2;STAT2;STAT3;TBPL1;TEF;TFE3;UBP1;XBP1;ZGPAT;ZNF692;ZSCAN18,82,exp05-coregnet
dbecc1efee88,OGA,APEX1;ARNT2;ATF2;ATF4;BHLHE22;BHLHE40;BHLHE41;CEBPG;CIC;CREBL2;CREBZF;CTBP1;DBP;DDIT3;DEAF1;DRAP1;E4F1;EGR3;ELK1;EMX2;ENO1;ERF;EWSR1;FOXG1;FOXJ3;GTF2F1;GTF3A;HDAC3;HES4;HIF1A;HLF;HMGA1;HMGB2;HSF4;ID2;ID4;JAZF1;JUND;KLF13;KLF15;KLF16;KLF9;LHX2;MAFG;MAZ;MEF2C;MEF2D;MEIS3;MESP1;MLX;MLXIPL;MTA3;NCOA1;NCOR2;NEUROD2;NFE2L1;NPAS2;NR1D2;NR2E1;NR2F2;PBX1;PIR;PPARD;RBFOX2;RELA;RFX5;SMARCA1;SND1;SOX2;SOX9;SREBF2;STAT1;STAT2;STAT3;TBPL1;TEF;TFE3;THRA;UBP1;XBP1;ZBTB18;ZBTB7A;ZGPAT;ZNF189;ZNF32;ZNF692;ZSCAN18,87,exp05-coregnet
04e974c65c1c,PCNA,APEX1;ARNT2;ATF2;ATF4;BHLHE22;BHLHE40;BHLHE41;CEBPG;CIC;CREBL2;CREBZF;CTBP1;DBP;DDIT3;DEAF1;DRAP1;E4F1;EGR3;ELK1;EMX2;ENO1;ERF;EWSR1;FOXG1;FOXJ3;GTF2F1;GTF3A;HDAC3;HES4;HIF1A;HLF;HMGA1;HMGB2;HSF4;ID2;ID4;JAZF1;JUND;KLF13;KLF15;KLF16;KLF9;LHX2;MAFG;MAZ;MEF2C;MEF2D;MEIS3;MESP1;MLX;MTA3;NCOA1;NCOR2;NEUROD2;NFE2L1;NPAS2;NR1D2;NR2E1;NR2F2;PBX1;PIR;PPARD;RBFOX2;RELA;RFX4;RFX5;SMARCA1;SND1;SOX2;SOX9;SREBF1;SREBF2;STAT1;STAT2;STAT3;TBPL1;TEF;TFE3;THRA;UBP1;XBP1;ZBTB18;ZBTB7A;ZGPAT;ZNF189;ZNF32;ZNF692;ZSCAN18,88,exp05-coregnet
f919b7c5810a,PDK4,ATF3;BCL6;BHLHE22;BHLHE41;CEBPD;DDIT3;EMX2;ENO1;FEZF2;FOS;HIF1A;HIF3A;HMGB2;HSF4;ID4;JUN;MYRF;NFIL3;PIR;RFX4;SOX9;STAT3;TFE3;XBP1,24,exp05-coregnet
43263072fb04,PER1,ARID5A;ATF3;BCL6;BHLHE22;BHLHE40;BHLHE41;CEBPB;CEBPD;DDIT3;EGR1;EGR3;ERF;ETS2;FOS;HES4;HIF1A;HIF3A;HMGB2;HSF4;ID1;ID2;ID4;JUN;JUNB;JUND;KLF9;LHX2;MEF2D;MLXIPL;MYRF;NFIL3;NKX6-2;NR1D1;NR4A1;RFX4;SOX2;SOX9;SREBF1;SREBF2;STAT2;STAT3;XBP1,42,exp05-coregnet
0f9a409afc07,PRKACA,APEX1;ARNT2;ATF2;ATF4;BHLHE22;BHLHE40;BHLHE41;CEBPG;CIC;CREBL2;CREBZF;CTBP1;DBP;DDIT3;DEAF1;DRAP1;E4F1;EGR3;ELK1;EMX2;ENO1;ERF;EWSR1;FOXG1;FOXJ3;GTF2F1;GTF3A;HDAC3;HIF1A;HLF;HMGA1;HMGB2;HSF4;JAZF1;JUND;KLF13;KLF16;KLF9;LHX2;MAFG;MAZ;MEF2C;MEF2D;MEIS3;MESP1;MLX;MLXIPL;MTA3;NCOA1;NCOR2;NEUROD2;NFE2L1;NPAS2;NR1D2;NR2F2;PBX1;PIR;PPARD;RBFOX2;RFX5;SMARCA1;SND1;SOX2;SREBF2;STAT1;STAT3;TBPL1;TEF;TFE3;THRA;UBP1;XBP1;ZBTB18;ZBTB7A;ZGPAT;ZNF189;ZNF32;ZSCAN18,78,exp05-coregnet
80fbf863fab7,SOCS3,CEBPD;FOS,2,exp05-coregnet
f3f6a9b029ed,SOD2,APEX1;ARID5A;ARNT2;ATF2;ATF3;ATF4;BCL6;BHLHE40;BHLHE41;CEBPB;CEBPG;CIC;CREBL2;DDIT3;E4F1;EGR3;ENO1;ERF;ETS2;EWSR1;GTF3A;HES5;HIF1A;HMGA1;HMGB2;ID2;JUN;JUNB;JUND;KLF13;KLF9;LHX2;MAFG;MAZ;MEF2C;MESP1;MLX;MTA3;NCOA1;NFE2L1;NFIL3;NPAS2;NR2E1;PIR;PPARD;RELA;RFX4;SMARCA1;SND1;SOX9;SREBF2;STAT1;STAT2;STAT3;TBPL1;TFE3;THRA;XBP1;ZSCAN18,59,exp05-coregnet
