cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method,goa_lin_similarity,goa_resnik_similarity,goa_jc_similarity,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
3ce61f7a6a67,OGA,RAB7A;YWHAE;NFE2L1;SOD1;EWSR1;PRNP,6,50.0,0.6347,exp02_cortex-ba9-coregtor-n_five,0.36584,1.41551,0.27443,0.56667,0.58889,0.65556,14.35362,13.44967,22.56541,0.0,0.0,0.0,0.0
0df2ca441b78,RHOA,ATF4;RAB7A,2,16.6667,0.4519,exp02_cortex-ba9-coregtor-n_five,0.27875,1.09714,0.20027,0.5,0.5,0.5,3.37076,2.0841,2.26311,0.0,0.0,0.0,0.0
18304eca6aaf,RHOA,CSNK2B;SNRNP70,2,16.6667,0.4005,exp02_cortex-ba9-coregtor-n_five,0.33532,1.2541,0.26352,1.0,1.0,1.0,29.02886,6.47667,53.43761,0.0,0.0,0.0,0.0
21a358ab875b,RHOA,HNRNPA1;TSC22D4;RPS4X;UBXN1;OLIG1;FEZ1,6,50.0,0.2098,exp02_cortex-ba9-coregtor-n_five,0.30626,0.88002,0.28109,0.5,0.45556,0.48889,13.1314,7.1385,14.85664,0.0,0.0,0.0,0.0
cf94a6e9d828,SPARC,HNRNPA1;SNRNP70;TSC22D4;UBXN1;FEZ1;CSNK2B;HSPA5;EWSR1,8,42.1053,0.2796,exp02_cortex-ba9-coregtor-n_five,0.33992,1.04925,0.30584,0.66071,0.56548,0.65476,32.78417,21.95892,41.01707,0.0,0.0,0.0,0.0
93c5a546e74e,STMN1,GOT1;YWHAZ;TCEAL2;NCALD;SOD1;PRDX5;TCEAL6,7,58.3333,0.2738,exp02_cortex-ba9-coregtor-n_five,0.33946,0.92705,0.33083,0.50794,0.43651,0.40476,6.26741,7.80838,5.60409,0.0,0.0,0.0,0.0
baa90a434a2d,SUMO1,RAN;YWHAZ;SOD1;PRNP;TPI1,5,71.4286,0.5381,exp02_cortex-ba9-coregtor-n_five,0.34611,1.35608,0.27567,0.65,0.75,0.85,33.59757,35.61008,46.4006,0.0,0.0,0.0,0.0
b8437eacc56e,TKT,CSNK2B;UBXN1;RAB7A;NUCB1;ATF4;EWSR1;NPDC1,7,70.0,0.2024,exp02_cortex-ba9-coregtor-n_five,0.3221,0.84747,0.30534,0.49206,0.44048,0.5,5.11445,1.92246,6.52895,0.0,0.0,0.0,0.0
90010d1b048b,TXN,YWHAE;SOD1;CSNK2B;RAN,4,20.0,0.3835,exp02_cortex-ba9-coregtor-n_five,0.3933,1.46275,0.30597,0.58333,0.58333,0.58333,28.4972,14.00179,32.9516,0.0,0.0,0.0,0.0
8a970f2ae467,TXN,EWSR1;HSPA5;AGAP2;UBXN1;RPL6,5,25.0,0.2869,exp02_cortex-ba9-coregtor-n_five,0.39815,1.1168,0.35501,0.58333,0.48333,0.61667,31.71649,7.20009,39.43797,0.0,0.0,0.0,0.0
bca8e27c78a4,TXN,SRP9;TPI1,2,10.0,0.2063,exp02_cortex-ba9-coregtor-n_five,0.23827,0.42205,0.30291,0.5,0.5,0.5,7.93679,16.27928,14.51089,0.0,0.0,0.0,0.0
21793261e55f,TXN,RAB7A;YWHAZ,2,10.0,0.1827,exp02_cortex-ba9-coregtor-n_five,0.31183,1.40442,0.22254,0.5,0.5,0.5,20.79781,21.87607,24.65969,0.0,0.0,0.0,0.0
efd486f5288c,VIM,ATF4;CSNK2B;EWSR1;ENO1;RAB7A,5,25.0,0.1975,exp02_cortex-ba9-coregtor-n_five,0.39099,1.26793,0.31301,0.5,0.5,0.5,17.72346,7.69739,19.25265,0.2,0.02,0.03636363636363636,0.018518518518518517
