cluster_uid,target,sources,n_sources,silhouette_score,note
b6fab8135c61,ABHD14B,NMRAL1;ETFB;GATAD2A;ZNF524;HIRIP3;RELB;ETV6;GABPB1;PPARD;ZNF311;ZNF32;ZNF362;ZNF784,13,0.2963,exp04_lung_reads-coregtor-r1
020582fa31e9,ABHD15,ZBTB3;ZNF594,2,0.1829,exp04_lung_reads-coregtor-r1
8c2d41ebd0b5,ABHD16A,STAT6;C19orf25;FIZ1;VPS72;ZNF341;LYL1;TIMELESS;TRIM21;ZNF691;ZBTB49;ACAA1;ZNF786;BRCA1,13,0.3042,exp04_lung_reads-coregtor-r1
a96ff58eb0b1,ABHD17A,NPDC1;HMG20B;ZNF467;TBX2;TCF3;IRF7;MEF2B;IRF3;EBF4,9,0.3399,exp04_lung_reads-coregtor-r1
978ca5011c6b,ABHD17B,OTUD4;RNF138;AHR;MBNL2;AFF4;ZNF670;ZNF524;ARID5B,8,0.172,exp04_lung_reads-coregtor-r1
0631acaec4b9,ABHD17C,RBM17;OSR2;FLI1;SRRM3;ETS1;LUZP1;BCL3;SIX5;RBM7;EPAS1,10,0.1972,exp04_lung_reads-coregtor-r1
c0b417655f72,ABHD18,TIA1;METTL14;ZNF44;ZBED5;ZNF518A;POLI;ZNF33A;CARF;ZNF429;ZNF169;TBP,11,0.3354,exp04_lung_reads-coregtor-r1
11c1a7276d5d,ABHD2,KLF5;IRF6;ZNF630;EZR;ATF6;NPDC1;ZNF511;RNASEH2C;ZNF692;PPP2R3B;ZNF177;ZNF770;EHF,13,0.3641,exp04_lung_reads-coregtor-r1
44050be424f6,ABHD3,HSPA1L;HP1BP3;ZBTB1;ZNF518A;ZNF780B;PKNOX1;ZNF808;BRCA1;TAF7;ZNF781;BANP;NFATC3;ZNF404;STAT6,14,0.1567,exp04_lung_reads-coregtor-r1
89b9a29dffee,ABHD4,ASAP3;THRA;SFPQ;SF1;ZNF581;FOSL1;RBM17;SALL2;FOSB;NFATC1;ZSCAN2;RARA,12,0.1944,exp04_lung_reads-coregtor-r1
9537f2e65034,ABHD5,MXD1;NFIX;PATZ1;ARG1;SIX5;ZNF281;NFIL3;THRA;ZNF362;HOXA3;ZNF599,11,0.2251,exp04_lung_reads-coregtor-r1
2a5c67dea857,ABHD6,THAP11;ZNF425;ZNF212;ZNF490;RELB;BCL3;ZBTB14;ZNF691;ZNF561;NFYC;HIRIP3;ZNF585B;CPTP;VPS4B;RFXANK;ZNF75A;ZNF835;TFCP2;CDC5L;ASH2L,20,0.1959,exp04_lung_reads-coregtor-r1
9ec1d0c6d6f8,ABHD8,ZNF524;ZNF444;THAP11;USF2,4,0.4696,exp04_lung_reads-coregtor-r1
ec157a1cf4bd,ABI1,RNF138;MTF2;HMGB1;SP3,4,0.1309,exp04_lung_reads-coregtor-r1
db03f4fcfceb,ABI2,ZBTB10;SMAD5;ELK4;PGR;CNOT4;FUBP1;PRKAA2;CLK1;ZBTB42,9,0.3858,exp04_lung_reads-coregtor-r1
94b7271d16ad,ABI3,LYL1;TRIM21;IRF5;APEX2;ZBTB49;ZGPAT,6,0.2674,exp04_lung_reads-coregtor-r1
7e9e71062136,ABI3BP,FREM1;ZBTB10;BBX;PGR;MBNL2;KMT2A;SOX5;ZHX2;ESR1;ZNF704;JAZF1,11,0.1782,exp04_lung_reads-coregtor-r1
4ab39e0fe75c,ABITRAM,MTERF1;TIGD2;ZNF214;ZNF391;ZFP3;ZNF561;TFCP2;MIOS;CSTF2;ZNF19;ZNF23;ZNF544;ZNF688;ZNF20;SNAPC5;CYB5R1;ZNF132;SMUG1,18,0.2233,exp04_lung_reads-coregtor-r1
dc692aed436e,ABL2,HIRIP3;PPARD;RELB;HIVEP2;ZNF362;ZNF425;IL24;ZNF524;ABL1;RFXANK;HIF1A;ASH2L;NFKB2;ZBTB14,14,0.289,exp04_lung_reads-coregtor-r1
d62aa7b28c4f,ABLIM1,TEAD1;RORA;SMAD4;PHF2;PHF20;ZNF704;VEZF1;SOX5;MYRF;PKM;HBP1;ZBTB4;FOXJ3;E2F4;TPPP,15,0.1613,exp04_lung_reads-coregtor-r1
0feebc046cc6,ABLIM2,ZNF343;CAT;ELF5;SPDEF;BATF3;ZBTB47;HSF1;IRX5;TFE3;ZNF598;ZBTB22;HHAT;IRX3;CEBPA;TAGLN2,15,0.2223,exp04_lung_reads-coregtor-r1
129419cceea7,ABLIM3,ZDHHC15;NCALD,2,0.1425,exp04_lung_reads-coregtor-r1
27f67721a5be,ABO,ESRP2;IRX2;IRX5;GRHL2,4,0.7229,exp04_lung_reads-coregtor-r1
7e9c21e356c4,ABR,PICK1;RXRA;CEBPA;RBM7;ZNF687;PRNP;TIGD5;IRF5;SETDB1;ATF6B;GABPB1;MNT;CTBP1;HNRNPC;ZNF740;USF2;ZBTB22;KLF13;ZNF707;MXD4;ZNF410,21,0.1452,exp04_lung_reads-coregtor-r1
e5cb5215dfec,ABRACL,SUCLG1;MTERF1;SMUG1;SRBD1;TIMELESS;TRIP10;ASH2L;AGGF1;SNRPB2;NMI;GTPBP1;TFCP2;TIGD2;MRPL1;MIOS;KMT2A;APEX2;LYL1;AKR1A1;MLX;GTF2H3;FAAP24;ZNF576;CHD2;MAFK;TSN,26,0.3236,exp04_lung_reads-coregtor-r1
105f04b16b44,ABRAXAS2,TSN;RIOK2;AGGF1;EXO5;ZNF212;VPS4B;MIOS,7,0.3776,exp04_lung_reads-coregtor-r1
612b8e415fa3,ABT1,EXO5;CHAMP1;TSN;RIOK2;ZSCAN25;ZBTB45;ZBTB10;ZBTB42;PTCD1;GAR1,10,0.3623,exp04_lung_reads-coregtor-r1
bf0f052d082d,ABTB1,ILF2;ING4;CBX7;HIF3A;MXD4;STAT3;ZNF577;HIF1A;GLI4;ZNF517;USF2;FOSL1;ZNF707;ZNF438,14,0.4256,exp04_lung_reads-coregtor-r1
7323e3dd6e13,ABTB2,ETS2;NNT;ZNF138;RELB;NKX3-1;ATF6B;STAT5A;CARF;GABPB1;NFKB1;ZNF491;BRCA1;ZNF382;ZNF69;ZNF846,15,0.1623,exp04_lung_reads-coregtor-r1
cf2aa10877c6,ACAA2,TRIP10;PCK2;ZBTB42;ZNF622;ZBTB10;MLX;GTF2H3;HADHB;EXO5;ETFB;CAT,11,0.2881,exp04_lung_reads-coregtor-r1
891dae2042a4,ACACA,ESRP2;SREBF2;ESRP1;ZBTB42;EHF;IRX6;FOXA2;GRHL2;CREB3L1;NAGS,10,0.3809,exp04_lung_reads-coregtor-r1
6cbe19f1a47a,ACACB,HIF1A;ILF2;HIF3A;STAT3;ZNF846;BPTF;CARF;RELB,8,0.3309,exp04_lung_reads-coregtor-r1
b6e287c14983,ACAD10,ASH2L;SMUG1;TFCP2;ZNF491;FAAP24;NFYC;ZNF212;ZBTB14;RFXANK;ZNF641;ZNF311;ATF6B;SRBD1;MTERF1;ZNF784;TIGD2;HLCS;ZNF287;LHX4,19,0.4321,exp04_lung_reads-coregtor-r1
db0a15f06f2d,ACAD11,ZNF506;POU6F1;TBX19;ZBTB25;ZNF621;ZNF571;CLK1;ZNF875;ZNF83;HOXB3,10,0.3256,exp04_lung_reads-coregtor-r1
115747170674,ACAD8,ZNF552;GTF3C2;ZNF3;PICK1;MRPS25;E4F1;GIT2;ZFP3;CPSF4;ZNF324B,10,0.1665,exp04_lung_reads-coregtor-r1
627c88d3e52e,ACAD9,ZNF311;MTERF1,2,0.2638,exp04_lung_reads-coregtor-r1
