cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_f1,grn_collectri_jaccard
199978bc228a,C2orf68,ZNF345;ING4;ZNF439;ZNF599;ZNF224;ZNF652;ZFP14;ZNF302;ZNF169;ZNF182,10,83.3333,0.5404,exp04_lung_reads-coregtor-default,0.38889,0.38704,0.4,1.29382,1.03053,1.30121,0.80789,1.91221,0.76765,,,,
4da5c31cf394,C2orf69,RNF138;RAB18;DR1,3,100.0,0.0,exp04_lung_reads-coregtor-default,0.44444,0.38889,0.44444,1.56419,0.20023,2.7459,0.22683,0.59095,0.23352,,,,
68d21d83582d,C2orf74,BRCA1;HIRIP3;ZNF33B;ING4;STAT3;ZNF491;ZNF846;ZFP2;ZNF763;ZNF517;ZNF32;ZFP64;RXRG;ZNF69;GATAD2A;ZNF585B;ZNF341;ZNF362;ZNF688;ZNF391;ZNF780A;CREBL2;POLI;SMAD2;TFCP2;CARF;ZNF174;MTA3;ZNF205;ZNF180;SMUG1;ZNF425;ZBTB14;ZNF138,34,62.963,0.2031,exp04_lung_reads-coregtor-default,0.41399,0.38562,0.41206,2.64754,2.54179,2.10069,0.64068,1.53967,0.61738,,,,
d8cafe555a75,C2orf74,MTERF1;ZNF546,2,3.7037,0.1117,exp04_lung_reads-coregtor-default,0.33333,0.33333,0.33333,0.0,0.0,0.0,0.37115,0.86685,0.35867,,,,
e683964db093,C3,GATA4;WT1;HOXC4;TBX18;SND1,5,55.5556,0.33,exp04_lung_reads-coregtor-default,0.43333,0.68333,0.41667,1.13926,17.35493,3.32507,0.51892,2.02721,0.38227,,,,
73a71f54ff76,C3AR1,FOXP1;TRIP10;MAFB;MLX;SMAD3;ZBTB10;HES4;MTHFD1,8,57.1429,0.2267,exp04_lung_reads-coregtor-default,0.4881,0.40476,0.47024,2.5243,2.47865,3.70576,0.39456,1.21139,0.35889,,,,
d40b6b8e719c,C3AR1,TCF4;HOMEZ,2,14.2857,0.0755,exp04_lung_reads-coregtor-default,0.5,0.33333,0.5,11.87931,0.0,8.51467,0.63391,1.55577,0.59056,,,,
eedf5abe1dfa,C3orf38,AGGF1;ZBTB6;TIGD2;RIOK2;ZNF28;ZNF845;ZNF468;ZNF561;ZNF490;ZBTB24;MTERF1,11,78.5714,0.2955,exp04_lung_reads-coregtor-default,0.42424,0.39091,0.41515,3.35655,0.8998,1.90293,0.5817,1.30355,0.5729,,,,
08fb036e46ec,C3orf52,ESRP1;IRF6;KLF5;TRAF4;ZNF165;HOXB3;EZR,7,77.7778,0.3355,exp04_lung_reads-coregtor-default,0.4127,0.49206,0.4127,1.29057,2.50993,1.3723,0.41719,1.08725,0.40564,,,,
f01a4daccbcf,C3orf62,ZBTB40;GTF3C5;ZGPAT,3,21.4286,0.1317,exp04_lung_reads-coregtor-default,0.5,0.33333,0.44444,1.90521,0.0,3.05946,0.51521,1.05659,0.52099,,,,
455c5a39f268,C3orf62,ZNF461;ZNF605;ZNF235;GIT2;ZNF276;ZNF577;TFAP2E;ZNF37A,8,57.1429,0.0928,exp04_lung_reads-coregtor-default,0.27083,0.38988,0.35119,0.31456,0.94193,0.36485,0.69858,1.6441,0.67929,,,,
6b936ce2e16c,C4A,SND1;P4HB;ZBTB10;MAP4K2;ACO1;MTHFD1;ERG;AKR1A1;GOT1;NCALD,10,22.7273,0.2037,exp04_lung_reads-coregtor-default,0.47407,0.42593,0.48889,5.8697,6.0592,9.68374,0.31804,1.04969,0.27178,,,,
1d5af269fc94,C4B,MTF2;ETS1;DMRT2,3,5.8824,0.1345,exp04_lung_reads-coregtor-default,0.38889,0.5,0.38889,1.69499,0.92119,1.7949,0.53047,1.58738,0.47468,,,,
8685d21015f4,C4B,P4HB;RORB;AKR1A1;ERG;RBM17;SND1;WT1;MTHFD1;ZEB1;ZC3H7A;MAFK;EPAS1;FLI1;MAP4K2;CREB3L1;ZBTB10;PKNOX2,17,33.3333,0.108,exp04_lung_reads-coregtor-default,0.46936,0.44485,0.49142,4.75021,3.11808,6.7561,0.40793,1.13086,0.37912,,,,
a8738bea2176,C4BPA,IRX6;ELF5;FOXA2;CEBPA;POU2F3;TFCP2L1,6,66.6667,0.2591,exp04_lung_reads-coregtor-default,0.4,0.5,0.41111,0.58955,11.13943,1.78971,0.69093,2.01537,0.63556,,,,
3663d2f6f45e,C4orf3,PCK2;JAZF1;SOX7;TFCP2L1;HMGB1;AEBP2;PGR;ZBTB10;IRX6;ZNF506;ATF2;ZNF571;HOXB5;ZBTB42;MTF2;PRKAA2;TCF4;HOXB2;ZSCAN18;TRIM69;MLXIPL,21,55.2632,0.2009,exp04_lung_reads-coregtor-default,0.44127,0.41865,0.44683,2.46951,4.41433,1.76909,0.50062,1.3793,0.46661,,,,
635d87e9a5a8,C4orf3,VAMP3;SND1,2,5.2632,0.0561,exp04_lung_reads-coregtor-default,0.5,0.5,0.5,9.1868,0.32294,8.4384,0.33653,1.03071,0.28059,,,,
