cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method
c108c72620f3,TRIM5,ZNF800;SF1,2,4.0,0.0778,exp04_lung_reads-coregtor-default
e73ab3d5e62c,TRIM5,ZNF326;ZNF248;RBM3,3,6.0,0.0686,exp04_lung_reads-coregtor-default
c0c8d4aac8a2,TRIM52,ZNF512;ZNF506;ZNF540,3,100.0,0.0,exp04_lung_reads-coregtor-default
ba44bbb810db,TRIM52-AS1,ZKSCAN8;POU2F1;EXOSC3;ZFP69B;PARP1,5,31.25,0.2241,exp04_lung_reads-coregtor-default
09a04c2d0c23,TRIM56,ZBTB46;ZNF555;ZNF445;ZKSCAN1;ZNF91;ZNF8;ZNF24;ZNF836;HMBOX1;ZFP14;SOX13;ZNF512;DIDO1;DUSP22;E2F5;ZNF766;PHF2;ZNF264,18,69.2308,0.2239,exp04_lung_reads-coregtor-default
c45ca901730b,TRIM56,IRF2;ZNF621,2,7.6923,0.1456,exp04_lung_reads-coregtor-default
5d0fc16a04c2,TRIM62,ZNF652;ZNF75D;ZNF500;ZNF251;ZNF740;ZNF276;ZNF530;ZNF707;KIF22;HNRNPC;GTF3C2;ZNF335;GIT2;FBXL19;ZNF439;ING4;ZNF689,17,73.913,0.2389,exp04_lung_reads-coregtor-default
14007d418b5d,TRIM65,ZNF74;TFAP4;ZNF174;ZNF740;CTBP1;ZNF768;ZNF169;NELFB;ZSWIM1;GIT2;ZNF133;ZNF205;ZBTB3;ZNF7;ZNF112;ZNF623;JRK;ZFP62;TIGD5,19,79.1667,0.2724,exp04_lung_reads-coregtor-default
55b079c28294,TRIM65,ZKSCAN3;SMUG1,2,8.3333,0.1483,exp04_lung_reads-coregtor-default
2d06c84ea08d,TRIM66,HLCS;ZNF334,2,10.0,0.1858,exp04_lung_reads-coregtor-default
4381b45d037f,TRIM66,ZNF517;CARF;ZNF763;ZNF491;ZNF33B;NMRAL1;ZNF662;POLI;ZFP3,9,45.0,0.179,exp04_lung_reads-coregtor-default
