,cluster_uid,target,sources,n_sources,silhouette_score,note,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_jaccard
30,442e9f346a58,PDLIM7,FOSL2;MEF2D;KLF9;MAFK;NFIX;PML;PRRX1;ARID5A;LRRFIP1;JUNB;NR4A2;NR2F2;KLF4;ATF3;KLF2;NFKB2;BHLHE40,17,0.4659,exp03_thyroid-coregtor-r1,0.48775,0.56495,0.50735,8.58598,15.68403,5.37213,0.60925,1.86831,0.54674,0.11765,0.05263,0.03774
31,a17b38ac1fec,PER1,MAFF;ERF;KLF6;NR4A1;SRF;NR1D2;BHLHE41;KLF9,8,0.3379,exp03_thyroid-coregtor-r1,0.47619,0.54762,0.47619,6.04287,10.65086,4.00925,0.64541,1.94839,0.58204,0.375,0.11538,0.09677
32,77543fd1f2f3,RBL2,BCLAF1;SP1;STAT5B;CREBZF;FOXO3;MXI1,6,0.0,exp03_thyroid-coregtor-r1,0.47778,0.58889,0.48889,8.25934,24.45992,5.38633,0.61801,1.97259,0.4987,0.33333,0.08333,0.07143
33,fb74e624363d,RHOA,YBX1;SND1;NFE2L1;NFKB1;HTATIP2;CREB3;TFDP1;SMARCA5,8,0.0,exp03_thyroid-coregtor-r1,0.50595,0.46429,0.52976,11.84002,7.58829,12.3065,0.44707,1.40531,0.37445,0.0,0.0,0.0
34,00adf82523a6,SOCS3,BCL3;ETS2;CEBPD;FOSL2;NFIL3,5,0.0,exp03_thyroid-coregtor-r1,0.48333,0.8,0.48333,14.37568,31.0035,6.45642,0.6423,1.84534,0.58407,0.0,0.0,0.0
35,c29b7f8358eb,SOD2,NFKB1;NFKB2;BCL3;STAT3;HIF1A;CEBPD;BCL6;PML;SOX18;TFDP1;LMO2;ETS2,12,0.0,exp03_thyroid-coregtor-r1,0.57071,0.67677,0.56818,14.05044,35.33753,10.79506,0.52428,1.82092,0.42839,0.25,0.075,0.06122
36,84be53cc0dd5,SPARC,ELK3;LRRFIP1;NR2F2;SKI;CTNNB1;PRRX1;STAT5B;UBP1;ETS1,9,0.0,exp03_thyroid-coregtor-r1,0.51389,0.54167,0.49074,6.0515,13.93728,5.53841,0.54544,1.69364,0.48633,0.0,0.0,0.0
37,87b8a57b31f4,SQSTM1,MAFG;TFE3,2,0.0,exp03_thyroid-coregtor-r1,0.5,0.5,0.5,24.45266,3.42665,2.2798,0.70899,2.01928,0.67725,0.0,0.0,0.0
38,aa2d09dd065f,SUMO1,CREBL2;TFDP1,2,0.0,exp03_thyroid-coregtor-r1,0.5,0.5,0.5,1.28666,1.04717,1.18687,0.6668,1.88902,0.58231,0.0,0.0,0.0
39,c38040308a7d,TAGLN,FOSL2;MEF2D;JUNB;KLF9;NFIX;NFIL3;KLF4;ARID5A;HEYL;MAFK;NR4A2;KLF2;DBP;NR2F2;UBP1;LRRFIP1;MAF,17,0.4477,exp03_thyroid-coregtor-r1,0.47672,0.53676,0.47672,6.27249,12.38317,3.65133,0.64793,1.93456,0.59242,0.05882,0.02857,0.01961
40,ea835274a7f0,TGFBR2,ELK3;SP1;NR2F2;ETS1;ETS2;PRRX1,6,0.0,exp03_thyroid-coregtor-r1,0.52222,0.55556,0.53333,7.54729,22.66544,5.87118,0.71017,2.14785,0.64949,0.33333,0.05128,0.04651
41,2a09870d8183,TIMP1,HIF1A;BCL3;STAT3;BCL6;ENO1;USF1;NFKB2;CEBPD;TBX3,9,0.0,exp03_thyroid-coregtor-r1,0.56944,0.70833,0.56944,15.93217,38.27741,9.5019,0.52157,1.87952,0.40889,0.22222,0.05263,0.04444
42,2f0f110b4130,TNFRSF10B,BCL6;RELA;BCL3;NFKB2;HIF1A;FOSL2;ETS2;ERF;ZNF274;STAT3;ZNF160,11,0.3226,exp03_thyroid-coregtor-r1,0.54242,0.6697,0.54545,11.76697,40.41653,7.79237,0.54789,1.74165,0.47277,0.18182,0.08333,0.06061
43,819dbc8f9143,TNFSF10,TFDP1;ELK3;PRRX1;LMO2,4,0.3644,exp03_thyroid-coregtor-r1,0.41667,0.41667,0.47222,1.43623,1.65424,4.00925,0.70129,2.0706,0.62951,0.0,0.0,0.0
44,9cc76da751a2,VEGFA,ZNF316;PAX8;PPARD;HDAC1;PBX2;SALL1;HES1;PATZ1;ZNF384,9,0.0,exp03_thyroid-coregtor-r1,0.53704,0.51852,0.52778,4.70835,5.16758,6.2107,0.47508,1.63042,0.40426,0.33333,0.02113,0.02027
45,501dc4d1e25d,VIM,HSF1;CREBL2;MXI1;HSF4;HMGB1,5,0.0,exp03_thyroid-coregtor-r1,0.53333,0.48333,0.53333,3.72261,3.19057,6.69724,0.50484,1.56126,0.43038,0.2,0.02,0.01852
