cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method
5cb3290816c7,AAMP,ECSIT;NUCB1;DRAP1;UBXN1;ZNF800;CXXC1;GIT2;RBM42;REL;ZNF207;ZNF564;HMG20B;GPANK1;RFXANK;POU2F1;NOC2L;TRIM28;BAX;CREB1;SCAND1;ZNF586;TIMM44;ZNF410;NR1H2;GTPBP6;RPL35;STUB1;IKZF2;PQBP1;PROX2;PRDX5;FOXP1;ZNF20;GTF3C5;CENPB;POLD2;HIRIP3;HSF1;NELFB;LCORL;ZNF652;ZNF720;ZNF511;CPTP;ZNF782;ZNF267;ZNF23;NFIA;ZNF708;CCNT2;LCOR;ZNF574;ZNF81;ZNF808;BPTF;ZNF451;RBMS1;ZNF721;ZNF546;ZNF562;ZNF154,61,63.5417,0.1334,exp04_luad-coregtor-default
6519a378fdee,AAMP,KDM7A;DIABLO,2,2.0833,0.1102,exp04_luad-coregtor-default
bf189fe599c1,AAMP,ZNF25;ZBTB45,2,2.0833,0.0921,exp04_luad-coregtor-default
90b1eaf94fc5,AAMP,ZNF506;ZNF148;ZNF805,3,3.125,0.0831,exp04_luad-coregtor-default
11563466f425,AAMP,ZNF678;CNOT4,2,2.0833,0.0676,exp04_luad-coregtor-default
8022393a0d92,AAMP,ZBTB17;ZNF555,2,2.0833,0.0584,exp04_luad-coregtor-default
d4b02a0d85cc,AAMP,NR2F6;AFF4,2,2.0833,0.0468,exp04_luad-coregtor-default
bf6a5109d4cf,AAMP,ZEB2;RORA,2,2.0833,0.0087,exp04_luad-coregtor-default
a333da8e9c30,AAR2,GTF2F1;ZNF736;XRCC1;ZNF207;BPTF;DPF2;ZNF410;NUCB1;CCNT2;GTF3C5;PQBP1;ZNF564;ZNF148;ZNF280D;ZNF654;CENPB;NFIA;GIT2;ZNF408;HDAC8;MLLT10;RELA;JUND;CREB3;UBTF;LHX4;KDM7A;ZEB2;ZNF451;ELK4;HSPA5;CNOT4;ZNF91;ZNF782;ERF;REST;ZNF213;GRHPR;DIABLO;PROX2;TSC22D4;ZNF154;ZNF789;POU2F1;ECSIT;NFIB;RUFY3;ZNF777;RFXANK;CLOCK;SMAD4;IKZF2;NFKB2;SNRPB2,54,53.4653,0.1833,exp04_luad-coregtor-default
da1e9331916b,AAR2,OTUD4;TPI1;ZCCHC17,3,2.9703,0.0971,exp04_luad-coregtor-default
f2ac49f65ef1,AAR2,ZBTB45;HIRIP3,2,1.9802,0.0914,exp04_luad-coregtor-default
7eaf9a6d8cf5,AAR2,ZNF827;ZNF891;ZNF672;ZNF195;P4HB;HNRNPUL1,6,5.9406,0.0911,exp04_luad-coregtor-default
73529d4e17a2,AAR2,ZBTB20;ATF6B;IRF3,3,2.9703,0.0731,exp04_luad-coregtor-default
093888e4ef24,AAR2,ZNF518A;LARP4;ZNF506,3,2.9703,0.0711,exp04_luad-coregtor-default
7db8280fa14a,AAR2,FOXP4;NFAT5;AKR1A1;ZNF267;TBL1XR1;ZNF37A;ZNF264;ZNF678;TRIM28,9,8.9109,0.0252,exp04_luad-coregtor-default
bfab6c0fa2be,AARS1,PARP1;TERF2;CENPBD1;SSRP1;E2F4;ZNF687;HSPA5;SMARCA1;TIMELESS;UBTF,10,83.3333,0.2175,exp04_luad-coregtor-default
81280be7c4c6,AARS2,ILF3;ZNF335;UBTF;SNAPC4;SNRNP70;RXRB;ZBTB12;FBXL19;DNMT3A;ZNF316;ZNF76;DAZAP1;PRDM15;KMT2B;ZNF707;ZNF212,16,64.0,0.3614,exp04_luad-coregtor-default
827eae531808,AASDH,ZZZ3;CLOCK;METTL14,3,33.3333,0.1273,exp04_luad-coregtor-default
f083486903a7,AASDHPPT,ZZZ3;FUBP1;TFAM;PDS5A;THAP12;ZNF644;ZNF92;JRKL;ZBTB44;RBM7;NFXL1;ZBTB33;ZNF202;HMGXB4;HLTF;UBE2K;ADNP;AHCTF1;ZBTB41;PSMD12,20,68.9655,0.2044,exp04_luad-coregtor-default
d6e62eb6aaf8,AASDHPPT,ATF2;ZFP91,2,6.8966,0.1649,exp04_luad-coregtor-default
181eca39ca5e,AASS,NFIA;ZFP92,2,3.0303,0.1493,exp04_luad-coregtor-default
eaee6508b338,AASS,RFC2;ZNF700,2,3.0303,0.1446,exp04_luad-coregtor-default
5f92cb95b008,AASS,SETBP1;ZNF483,2,3.0303,0.1326,exp04_luad-coregtor-default
959c9e10c029,AASS,ZNF662;NFAT5,2,3.0303,0.0597,exp04_luad-coregtor-default
