cluster_uid,target,sources,n_sources,method
57dfa7efd3be,PRKACA,ARID3A;ATF3;ATF6;BCL6;CEBPA;CEBPD;CIC;CREB5;EGR1;HHEX;HLX;HTATIP2;JDP2;JUN;KLF13;KLF16;MEF2A;MLXIP;MNT;NFYC;NR4A1;PBX2;RARA;RUNX3;RXRB;SIRT6;SP1;SPI1;STAT5A;STAT5B;STAT6;TFEB;TRIM21;USF1;ZBTB18;ZBTB7B;ZGPAT;ZNF746;ZXDC,39,exp05-coregnet
e932da7f43e3,PSEN1,ATF3;ATF6;BHLHE40;CEBPD;CREB5;EOMES;HHEX;HTATIP2;IRF2;JUN;KLF13;MEF2A;NR4A2;SP1;STAT5B;TFEB;TRIM21;ZBTB18;ZBTB7B,19,exp05-coregnet
3f6ee984b552,PTEN,ATF3;ATF6;BACH1;BCL6;CEBPD;CREB5;ELF1;EOMES;EP300;ETS2;HBP1;IRF2;KLF7;LRRFIP1;MEF2A;RBPJ;RUNX3;SP1;STAT5B;ZBTB18;ZNF217;ZNF746,22,exp05-coregnet
d9daa15f88f0,RASSF1,CTBP1;CXXC1;DMAP1;E4F1;EOMES;ETS1;GTF2F1;HDAC1;ID2;IRF3;LDB1;MBD1;MZF1;NFE2;NONO;NR4A2;PHF1;PPARD;PRDM1;RUNX3;SFPQ;SREBF2;SSRP1;STAT2;STAT4;TBX21;TCF7;TRIM28;UBTF;ZBTB17;ZBTB4;ZNF266;ZNF335,33,exp05-coregnet
b0905679e252,RBL2,ATF3;BACH1;BCLAF1;CTNNB1;ELF1;EP300;FLI1;IKZF1;JUN;LRRFIP1;MAFF;NR3C1;NR4A1;VEZF1;ZBTB18;ZEB2;ZNF217,17,exp05-coregnet
1467872d60b3,RHOA,ARID3B;ARNT;ATF4;ATF6B;CIC;CREB3;CTBP1;CXXC1;DMAP1;E4F1;ELF4;ENO1;ETV6;EWSR1;GATA1;GTF2F1;HSF1;KDM2A;KDM5A;KLF1;KMT2B;LDB1;MBD1;MBD2;MECP2;MLX;NFE2L1;NONO;PBX2;PPARD;RXRB;SF1;SFPQ;SIRT6;SP2;STAT3;STAT5A;USF1;ZBTB17;ZBTB7A;ZGPAT;ZNF335,42,exp05-coregnet
a2536099d170,SOCS3,ARID5A;ATF3;ATF6;BACH1;BCL3;BCL6;BCLAF1;CEBPB;CEBPD;CREB5;CTNNB1;ELF1;ETS2;HHEX;HIF1A;IRF2;JUN;JUNB;KDM2A;KLF1;KLF13;KLF6;KLF7;LRRFIP1;MEF2A;MNT;NR4A1;STAT3;STAT5B;ZBTB18;ZBTB7B;ZEB2;ZNF217,33,exp05-coregnet
59e7aa6f9b69,SOD2,ATF3;ATF6;BACH1;BHLHE40;CEBPD;CREB5;EOMES;HHEX;HTATIP2;IRF2;JUN;MAFF;MEF2A;NR4A1;NR4A2;RARA;SP1;STAT5B;TBX21;TRIM21;ZBTB18;ZNF217,22,exp05-coregnet
79e60427bed4,SPARC,ATF3;BACH1;BHLHE40;CEBPA;CEBPD;CREB5;EGR1;EOMES;HHEX;HTATIP2;JDP2;JUN;KLF13;MAFF;MEF2A;NFE2;NR4A1;NR4A2;RUNX3;TRIM21;ZBTB18;ZBTB7B,22,exp05-coregnet
b8898ba37987,SQSTM1,ARID3B;ARNT;ATF3;ATF4;ATF6B;CREB3;CTBP1;CTCF;CXXC1;DMAP1;E4F1;ELF4;EOMES;ETS1;ETV6;EWSR1;FOSL2;GTF2F1;HDAC1;HSF1;ID2;IRF3;JUND;KDM2A;KDM5A;KLF1;KMT2B;LDB1;MBD1;MECP2;MEF2D;MZF1;NCOR2;NFE2L1;NFKB2;NONO;NR4A1;NR4A2;PBX2;PHF1;PML;PPARD;RELA;RUNX3;RXRB;SF1;SFPQ;SND1;SP2;SREBF1;SREBF2;SSRP1;STAT4;TBX21;TCF7;TRIM28;UBTF;USF1;ZBTB17;ZBTB4;ZBTB7A;ZGPAT;ZHX2;ZNF335;ZNF384;ZNF692,66,exp05-coregnet
e427f18b8bf9,SUMO1,ARNT;ATF6;ATF6B;BACH1;BCLAF1;CREB3;CREB5;CTBP1;CTCF;CTNNB1;DMAP1;ELF1;ELF4;ETV6;EWSR1;FLI1;GTF2F1;GTF3A;HDAC1;HHEX;HMGB1;HTATIP2;IRF2;JUN;KDM5A;KLF13;LDB1;LMO2;LRRFIP1;MAFF;MBD1;MBD2;MEF2A;MLX;NFE2L1;NFYC;NR3C1;PBX2;RXRB;SFPQ;SIRT6;SP1;SP100;SRF;STAT5A;STAT5B;UBTF;USF1;VEZF1;YY1;ZBTB17;ZBTB18;ZBTB7A;ZBTB7B;ZGPAT;ZNF217;ZXDC,57,exp05-coregnet
3ea24d2bd294,TGFB1,ARID3B;ARID5A;ARNT;ATF6B;BCL3;CIC;CREB3;CTBP1;CTCF;CXXC1;DMAP1;E4F1;ELF4;ETV6;EWSR1;FOSL2;GTF2F1;HDAC1;HSF1;IRF3;JUND;KDM2A;KDM5A;KLF1;KMT2B;LDB1;MAZ;MBD1;MBD2;MECP2;MEF2D;MZF1;NCOA3;NCOR2;NFE2L1;NFYC;NONO;NR4A1;PBX2;PHF1;PML;PPARD;RELA;RUNX3;RXRB;SF1;SFPQ;SIRT6;SP2;SREBF1;SREBF2;STAT5A;STAT6;TRIM28;UBTF;USF1;YY1;ZBTB17;ZBTB7A;ZGPAT;ZHX2;ZNF335;ZNF384;ZNF692,64,exp05-coregnet
835e4a49af97,TGFBR2,ATF3;BACH1;CREB5;EOMES;FLI1;HHEX;HTATIP2;IRF2;KLF13;MAFF;MEF2A;NR4A1;RUNX3;TBX21;ZBTB18;ZBTB7B;ZNF217,17,exp05-coregnet
64900a650f3e,TIMP1,ARID5A;ATF3;BCL3;BHLHE40;CEBPB;ENO1;ERF;FOS;FOSL2;HHEX;HIF1A;HMGA1;JUN;JUNB;JUND;KLF2;MAFF;NFKB2;NR4A1;NR4A2;PHF1;PPARD;RELA;RELB;RUNX3;STAT4;ZBTB4;ZHX2,28,exp05-coregnet
18c7c5e3e2b3,TKT,ARID3A;ARNT;ATF3;ATF6;BCL6;BHLHE40;CEBPA;CEBPD;CREB5;ELF4;HHEX;HLX;HTATIP2;JDP2;JUN;MAFF;MBD2;MEF2B;MLX;MLXIP;MNT;NFYC;NR4A1;PBX2;RARA;RXRB;SIRT6;SP1;SPI1;STAT5A;STAT5B;STAT6;TFEB;TRIM21;USF1;ZBTB18;ZBTB7B;ZGPAT;ZXDC,39,exp05-coregnet
5c87cce38aab,TNFSF10,ATF3;BHLHE40;DDIT3;EGR1;EOMES;FOS;HHEX;JUN;JUND;MAFF;NR4A1;NR4A2;PHF1;RLF;RUNX3;TBX21,16,exp05-coregnet
88d01b09f13f,TXN,ATF3;BHLHE40;EGR1;EOMES;ETS1;FOS;HMGB2;HTATIP2;JUN;JUND;MAFF;NR4A1;NR4A2;PHF1;RUNX3;STAT4;TBX21;ZBTB4,18,exp05-coregnet
4853c65f4eef,VEGFA,ATF3;BCL6;BHLHE40;CEBPA;CEBPD;CREB5;HHEX;HTATIP2;JUN;KLF13;MAFF;MEF2A;NFE2;NR4A1;NR4A2;ZBTB7B,16,exp05-coregnet
31670a22c638,VIM,ARID3A;ARNT;ATF3;ATF6;ATF6B;BACH1;BATF;CEBPA;CREB5;CTBP1;ELF4;EOMES;EP300;EWSR1;HHEX;HTATIP2;ING4;JDP2;KLF13;KLF16;LDB1;MAFF;MBD2;MEF2A;MLX;NFKB1;NFYC;NR4A2;PBX2;RARA;RXRB;SIRT6;SP1;SP100;SPI1;SRF;STAT5B;TFEB;TRIM21;USF1;VEZF1;ZBTB18;ZBTB7A;ZBTB7B;ZGPAT;ZNF217,46,exp05-coregnet
