"Regulator","Target"
"KLF13","CCND3"
"KLF13","MAT2A"
"KLF13","SPARC"
"KLF13","PRKACA"
"KLF13","PSEN1"
"KLF13","VIM"
"KLF13","HBB"
"KLF13","VEGFA"
"KLF13","HBA2"
"KLF13","BCL2L1"
"ZNF746","NOTCH1"
"ZNF746","PTEN"
"ZNF746","PRKACA"
"ZNF746","HBB"
"ZNF746","HBA2"
"ARID3A","NOTCH1"
"ARID3A","CD44"
"ARID3A","CD14"
"ARID3A","PDLIM7"
"ARID3A","TKT"
"ARID3A","ACTB"
"ARID3A","CCND3"
"ARID3A","PRKACA"
"ARID3A","VIM"
"ARID3A","HBB"
"ARID3A","HBA2"
"STAT5B","NOTCH1"
"STAT5B","HLA-E"
"STAT5B","SUMO1"
"STAT5B","CD44"
"STAT5B","CD14"
"STAT5B","PDLIM7"
"STAT5B","TKT"
"STAT5B","SOD2"
"STAT5B","ACTB"
"STAT5B","SOCS3"
"STAT5B","NFKBIA"
"STAT5B","MCL1"
"STAT5B","PTEN"
"STAT5B","CCND3"
"STAT5B","PRKACA"
"STAT5B","PSEN1"
"STAT5B","VIM"
"STAT5B","HBB"
"STAT5B","HBA2"
"HTATIP2","NOTCH1"
"HTATIP2","HLA-E"
"HTATIP2","SUMO1"
"HTATIP2","MAPK14"
"HTATIP2","CD44"
"HTATIP2","CD14"
"HTATIP2","PDLIM7"
"HTATIP2","TKT"
"HTATIP2","SOD2"
"HTATIP2","ACTB"
"HTATIP2","TXN"
"HTATIP2","TGFBR2"
"HTATIP2","CLU"
"HTATIP2","CCND3"
"HTATIP2","MAT2A"
"HTATIP2","SPARC"
"HTATIP2","PRKACA"
"HTATIP2","PSEN1"
"HTATIP2","VIM"
"HTATIP2","CDKN1A"
"HTATIP2","HBB"
"HTATIP2","HLA-DRB1"
"HTATIP2","VEGFA"
"HTATIP2","HBA2"
"HTATIP2","BCL2L1"
"HTATIP2","HSPA1A"
"ZNF217","NOTCH1"
"ZNF217","HLA-E"
"ZNF217","SUMO1"
"ZNF217","CD44"
"ZNF217","SOD2"
"ZNF217","SOCS3"
"ZNF217","NFKBIA"
"ZNF217","TGFBR2"
"ZNF217","MCL1"
"ZNF217","AKT1"
"ZNF217","PTEN"
"ZNF217","CDKN1B"
"ZNF217","MAT2A"
"ZNF217","RBL2"
"ZNF217","VIM"
"ZNF217","HBB"
"ZNF217","HBA2"
"CREB5","NOTCH1"
"CREB5","HLA-E"
"CREB5","SUMO1"
"CREB5","MAPK14"
"CREB5","CD44"
"CREB5","CD14"
"CREB5","PDLIM7"
"CREB5","TKT"
"CREB5","SOD2"
"CREB5","ACTB"
"CREB5","SOCS3"
"CREB5","NFKBIA"
"CREB5","TGFBR2"
"CREB5","MCL1"
"CREB5","PTEN"
"CREB5","CLU"
"CREB5","CCND3"
"CREB5","MAT2A"
"CREB5","SPARC"
"CREB5","PRKACA"
"CREB5","PSEN1"
"CREB5","VIM"
"CREB5","HSP90AA1"
"CREB5","CDKN1A"
"CREB5","HBB"
"CREB5","HLA-DRB1"
"CREB5","VEGFA"
"CREB5","CXCR4"
"CREB5","HBA2"
"CREB5","PER1"
"CREB5","BCL2L1"
"CREB5","HSPA1A"
"HHEX","NOTCH1"
"HHEX","HLA-E"
"HHEX","SUMO1"
"HHEX","MAPK14"
"HHEX","CD44"
"HHEX","CD14"
"HHEX","PDLIM7"
"HHEX","TKT"
"HHEX","SOD2"
"HHEX","ACTB"
"HHEX","TNFSF10"
"HHEX","SOCS3"
"HHEX","NFKBIA"
"HHEX","TGFBR2"
"HHEX","MCL1"
"HHEX","CLU"
"HHEX","CCND3"
"HHEX","MAT2A"
"HHEX","PCNA"
"HHEX","SPARC"
"HHEX","PRKACA"
"HHEX","PSEN1"
"HHEX","VIM"
"HHEX","CDKN1A"
"HHEX","NDRG1"
"HHEX","HBB"
"HHEX","TIMP1"
"HHEX","HLA-DRB1"
"HHEX","VEGFA"
"HHEX","CXCR4"
"HHEX","DUSP1"
"HHEX","HBA2"
"HHEX","GSTP1"
"HHEX","PER1"
"HHEX","BCL2L1"
"HHEX","HSPA1A"
"LRRFIP1","NOTCH1"
"LRRFIP1","SUMO1"
"LRRFIP1","SOCS3"
"LRRFIP1","MCL1"
"LRRFIP1","AKT1"
"LRRFIP1","PTEN"
"LRRFIP1","CDKN1B"
"LRRFIP1","RBL2"
"LRRFIP1","HBB"
"LRRFIP1","HBA2"
"ATF6","NOTCH1"
"ATF6","HLA-E"
"ATF6","SUMO1"
"ATF6","CD44"
"ATF6","CD14"
"ATF6","TKT"
"ATF6","SOD2"
"ATF6","ACTB"
"ATF6","SOCS3"
"ATF6","NFKBIA"
"ATF6","PTEN"
"ATF6","CLU"
"ATF6","CCND3"
"ATF6","PRKACA"
"ATF6","PSEN1"
"ATF6","VIM"
"ATF6","HBB"
"ATF6","HBA2"
"ATF6","BCL2L1"
"CTNNB1","NOTCH1"
"CTNNB1","SUMO1"
"CTNNB1","SOCS3"
"CTNNB1","AKT1"
"CTNNB1","CDKN1B"
"CTNNB1","RBL2"
"CTNNB1","OGA"
"BCLAF1","NOTCH1"
"BCLAF1","SUMO1"
"BCLAF1","SOCS3"
"BCLAF1","AKT1"
"BCLAF1","CDKN1B"
"BCLAF1","PCNA"
"BCLAF1","RBL2"
"BCLAF1","OGA"
"VEZF1","NOTCH1"
"VEZF1","SUMO1"
"VEZF1","MCL1"
"VEZF1","CDKN1B"
"VEZF1","MAT2A"
"VEZF1","RBL2"
"VEZF1","VIM"
"VEZF1","HBB"
"VEZF1","HBA2"
"FLI1","NOTCH1"
"FLI1","HLA-E"
"FLI1","SUMO1"
"FLI1","TGFBR2"
"FLI1","MCL1"
"FLI1","CDKN1B"
"FLI1","MAT2A"
"FLI1","RBL2"
"FLI1","HBB"
"FLI1","HBA2"
"BCL6","NOTCH1"
"BCL6","MAPK14"
"BCL6","CD44"
"BCL6","CD14"
"BCL6","TKT"
"BCL6","ACTB"
"BCL6","SOCS3"
"BCL6","NFKBIA"
"BCL6","PTEN"
"BCL6","CLU"
"BCL6","PRKACA"
"BCL6","HBB"
"BCL6","VEGFA"
"BCL6","HBA2"
"MEF2A","NOTCH1"
"MEF2A","HLA-E"
"MEF2A","SUMO1"
"MEF2A","MAPK14"
"MEF2A","CD44"
"MEF2A","CD14"
"MEF2A","SOD2"
"MEF2A","ACTB"
"MEF2A","SOCS3"
"MEF2A","NFKBIA"
"MEF2A","TGFBR2"
"MEF2A","MCL1"
"MEF2A","PTEN"
"MEF2A","CCND3"
"MEF2A","MAT2A"
"MEF2A","SPARC"
"MEF2A","PRKACA"
"MEF2A","PSEN1"
"MEF2A","VIM"
"MEF2A","HBB"
"MEF2A","HLA-DRB1"
"MEF2A","VEGFA"
"MEF2A","HBA2"
"MEF2A","BCL2L1"
"MEF2A","HSPA1A"
"BACH1","NOTCH1"
"BACH1","SUMO1"
"BACH1","CD44"
"BACH1","SOD2"
"BACH1","SOCS3"
"BACH1","NFKBIA"
"BACH1","TGFBR2"
"BACH1","MCL1"
"BACH1","AKT1"
"BACH1","PTEN"
"BACH1","CDKN1B"
"BACH1","MAT2A"
"BACH1","SPARC"
"BACH1","RBL2"
"BACH1","OGA"
"BACH1","VIM"
"BACH1","HBB"
"BACH1","HBA2"
"CEBPD","NOTCH1"
"CEBPD","HLA-E"
"CEBPD","CD44"
"CEBPD","CD14"
"CEBPD","PDLIM7"
"CEBPD","TKT"
"CEBPD","SOD2"
"CEBPD","ACTB"
"CEBPD","SOCS3"
"CEBPD","NFKBIA"
"CEBPD","MCL1"
"CEBPD","PTEN"
"CEBPD","CLU"
"CEBPD","CCND3"
"CEBPD","SPARC"
"CEBPD","PRKACA"
"CEBPD","PSEN1"
"CEBPD","CDKN1A"
"CEBPD","HBB"
"CEBPD","HLA-DRB1"
"CEBPD","VEGFA"
"CEBPD","HBA2"
"CEBPD","BCL2L1"
"EGR1","CDKN1A"
"EGR1","GADD45B"
"EGR1","GSTP1"
"EGR1","PER1"
"EGR1","CSF1R"
"EGR1","HMOX1"
"EGR1","MAPK14"
"EGR1","TNFSF10"
"EGR1","TXN"
"EGR1","CLU"
"EGR1","SPARC"
"EGR1","PRKACA"
"RXRB","HLA-E"
"RXRB","SUMO1"
"RXRB","PDLIM7"
"RXRB","TKT"
"RXRB","AKT1"
"RXRB","RHOA"
"RXRB","TGFB1"
"RXRB","SQSTM1"
"RXRB","PRKACA"
"RXRB","VIM"
"STAT5A","HLA-E"
"STAT5A","SUMO1"
"STAT5A","TKT"
"STAT5A","AKT1"
"STAT5A","RHOA"
"STAT5A","TGFB1"
"STAT5A","PRKACA"
"NFKB1","HLA-E"
"NFKB1","CD44"
"NFKB1","CD14"
"NFKB1","VIM"
"RARA","HLA-E"
"RARA","CD44"
"RARA","CD14"
"RARA","PDLIM7"
"RARA","TKT"
"RARA","SOD2"
"RARA","ACTB"
"RARA","PRKACA"
"RARA","VIM"
"RARA","HBB"
"ESRRA","HLA-E"
"KLF16","HLA-E"
"KLF16","CD44"
"KLF16","CCND3"
"KLF16","PRKACA"
"KLF16","VIM"
"KLF16","HBB"
"TFEB","HLA-E"
"TFEB","CD14"
"TFEB","PDLIM7"
"TFEB","TKT"
"TFEB","ACTB"
"TFEB","CCND3"
"TFEB","PRKACA"
"TFEB","PSEN1"
"TFEB","VIM"
"TFEB","HBB"
"TFEB","HBA2"
"JDP2","HLA-E"
"JDP2","CD14"
"JDP2","PDLIM7"
"JDP2","TKT"
"JDP2","ACTB"
"JDP2","NFKBIA"
"JDP2","MCL1"
"JDP2","CCND3"
"JDP2","SPARC"
"JDP2","PRKACA"
"JDP2","VIM"
"JDP2","HBB"
"JDP2","HBA2"
"JDP2","BCL2L1"
"MLXIP","HLA-E"
"MLXIP","PDLIM7"
"MLXIP","TKT"
"MLXIP","ACTB"
"MLXIP","CCND3"
"MLXIP","PRKACA"
"MLXIP","HBB"
"MLXIP","HBA2"
"HLX","HLA-E"
"HLX","CD14"
"HLX","PDLIM7"
"HLX","TKT"
"HLX","CCND3"
"HLX","PRKACA"
"HLX","HBB"
"TRIM21","HLA-E"
"TRIM21","CD44"
"TRIM21","CD14"
"TRIM21","PDLIM7"
"TRIM21","TKT"
"TRIM21","SOD2"
"TRIM21","ACTB"
"TRIM21","CLU"
"TRIM21","CCND3"
