"Regulator","Target"
"NR1D2","STMN1"
"NR1D2","HSP90AA1"
"NR1D2","PER1"
"NR1D2","CARM1"
"NR1D2","MAT2A"
"NR1D2","FASN"
"MEF2D","PRKACA"
"MEF2D","SOD2"
"MEF2D","PIK3R1"
"MEF2D","PKD1"
"MEF2D","ACTB"
"MEF2D","APP"
"MEF2D","HSPA4"
"MEF2D","BMI1"
"MEF2D","STMN1"
"MEF2D","HSP90AA1"
"MEF2D","CARM1"
"MEF2D","MAT2A"
"MEF2D","FASN"
"FOSL2","PRKACA"
"FOSL2","SOD2"
"FOSL2","GADD45B"
"FOSL2","PIK3R1"
"FOSL2","PKD1"
"FOSL2","ACTB"
"FOSL2","MCL1"
"FOSL2","APP"
"FOSL2","DUSP1"
"FOSL2","HSPA4"
"FOSL2","BMI1"
"FOSL2","STMN1"
"FOSL2","HLA-E"
"FOSL2","VEGFA"
"FOSL2","NFKBIA"
"FOSL2","HSP90AA1"
"FOSL2","PER1"
"FOSL2","CARM1"
"FOSL2","MAT2A"
"FOSL2","FASN"
"CUX2","PRKACA"
"CUX2","SOD2"
"CUX2","PIK3R1"
"CUX2","PKD1"
"CUX2","ACTB"
"CUX2","APP"
"CUX2","HSPA4"
"CUX2","BMI1"
"CUX2","STMN1"
"CUX2","HSP90AA1"
"CUX2","CARM1"
"CUX2","MAT2A"
"CUX2","FASN"
"CUX2","VIM"
"CUX2","APOE"
"CUX2","SPARC"
"CUX2","TIMP1"
"CUX2","HBA2"
"CUX2","NDRG1"
"CUX2","TAGLN"
"CUX2","HLA-E"
"CUX2","NFKBIA"
"CUX2","CRYAB"
"JAZF1","PRKACA"
"JAZF1","SOD2"
"JAZF1","PIK3R1"
"JAZF1","PKD1"
"JAZF1","ACTB"
"JAZF1","APP"
"JAZF1","HSPA4"
"JAZF1","BMI1"
"JAZF1","STMN1"
"JAZF1","HSP90AA1"
"JAZF1","PER1"
"JAZF1","CARM1"
"JAZF1","MAT2A"
"JAZF1","FASN"
"JUN","PRKACA"
"JUN","SOD2"
"JUN","GADD45B"
"JUN","PIK3R1"
"JUN","ACTB"
"JUN","CDKN1A"
"JUN","SPARC"
"JUN","HSPA1A"
"JUN","MCL1"
"JUN","APP"
"JUN","DUSP1"
"JUN","HSPA4"
"JUN","BMI1"
"JUN","STMN1"
